INSTNM,LATITUDE,LONGITUDE
Jefferson Regional Medical Center School of Nursing,34.187831,-92.018045
John Brown University,36.189812,-94.560283
Career Academy of Hair Design,36.167605,-94.12947
Academy of Salon and Spa,35.38097,-94.41616
Arkansas State University Mid-South,35.145736,-90.22285
Arkansas Northeastern College,35.898597,-89.921005
New Tyler Barber College Inc,34.760085,-92.254171
North Arkansas College,36.219909,-93.08844
Northwest Technical Institute,36.178032,-94.115346
Ouachita Baptist University,34.126093,-93.052471
College of the Ouachitas,34.378745,-92.821416
Ozarka College,36.053031,-91.896355
University of the Ozarks,35.476278,-93.467221
University of Arkansas Community College-Morrilton,35.172136,-92.728507
Philander Smith College,34.737131,-92.283015
Phillips Community College of the University of Arkansas,34.546155,-90.616884
Southeast Arkansas College,34.210309,-92.025936
Professional Cosmetology Education Center,33.216032,-92.664101
University of Arkansas-Pulaski Technical College,34.782783,-92.299184
University of Arkansas Community College-Hope,33.641665,-93.596762
University of Arkansas Community College Rich Mountain,34.591449,-94.219799
Paul Mitchell the School-Arkansas,36.126373,-94.153892
Searcy Beauty College,35.239148,-91.735135
Shorter College,34.75933,-92.261331
Williams Baptist University,36.125676,-90.940277
South Arkansas Community College,33.209446,-92.666087
Southern Arkansas University Main Campus,33.291618,-93.235922
Southern Arkansas University Tech,33.628367,-92.721629
Velvatex College of Beauty Culture,34.735685,-92.289597
University of Arkansas-Fort Smith,35.384184,-94.373729
Academy of Art University,37.787943,-122.400578
Academy of Chinese Culture and Health Sciences,37.805972,-122.269839
The Academy of Radio and TV Broadcasting,33.729535,-117.987762
Avalon School of Cosmetology-Alameda,37.764203,-122.243566
College of Alameda,37.781017,-122.279303
Allan Hancock College,34.943716,-120.421144
American Academy of Dramatic Arts-Los Angeles,34.095378,-118.343701
American Baptist Seminary of the West,37.865252,-122.256149
American Film Institute Conservatory,34.10767,-118.310018
American Beauty College,34.069367,-117.936959
American Career College-Los Angeles,34.079323,-118.292481
American Conservatory Theater,37.787343,-122.40475
American River College,38.65085,-121.349672
Antelope Valley College,34.676207,-118.186166
Art Center College of Design,34.169031,-118.185102
Associated Technical College-Los Angeles,34.056102,-118.272364
Associated Technical College-San Diego,32.715375,-117.157988
Azusa Pacific University,34.130047,-117.888375
