INSTNM,LATITUDE,LONGITUDE
Illinois Central College,40.707235,-89.52485
Illinois College,39.7313,-90.246171
Olney Central College,38.735913,-88.099589
Illinois Institute of Technology,41.8313,-87.627321
Illinois State University,40.509403,-88.990058
Illinois Valley Community College,41.30744,-89.100887
Institute for Clinical Social Work,41.876064,-87.627217
John A Logan College,37.747453,-89.09021
The John Marshall Law School,41.877966,-87.628567
John Wood Community College,39.913741,-91.335828
Joliet Junior College,41.500535,-88.180985
Judson University,42.061754,-88.291336
Kankakee Community College,41.098178,-87.851047
Kaskaskia College,38.562112,-89.191974
Kishwaukee College,41.938234,-88.880524
Knox College,40.943064,-90.373165
Educators of Beauty College of Cosmetology-Peru,41.354338,-89.118454
College of Lake County,42.354164,-88.012291
Lake Forest College,42.249574,-87.827454
Lake Forest Graduate School of Management,42.243432,-87.893204
Lake Land College,39.416969,-88.380835
Lakeview College of Nursing,40.13855,-87.644379
Lewis and Clark Community College,38.951624,-90.194405
Lewis University,41.605432,-88.079032
Lincoln Christian University,40.148924,-89.346721
Lincoln College,40.155442,-89.36153
Lincoln Land Community College,39.721211,-89.611249
Lincoln College of Technology-Melrose Park,41.905577,-87.832162
Loyola University Chicago,42.000765,-87.656872
Lutheran School of Theology at Chicago,41.79563,-87.598978
Trinity College of Nursing & Health Sciences,41.484924,-90.568862
Steven Papageorge Hair Academy,41.939685,-87.657152
MacCormac College,41.881898,-87.626657
MacMurray College,39.730918,-90.223986
McCormick Theological Seminary,41.79597,-87.598511
McHenry County College,42.259111,-88.368956
McKendree University,38.608154,-89.816822
Meadville Lombard Theological School,41.874027,-87.624619
Methodist College,40.7804,-89.682864
Midstate College,40.761916,-89.598859
Millikin University,39.842612,-88.976298
Monmouth College,40.914824,-90.63731
Moody Bible Institute,41.897822,-87.633459
Moraine Valley Community College,41.694613,-87.836915
Morrison Institute of Technology,41.7971,-89.965963
Morton College,41.824303,-87.762306
Mr John's School of Cosmetology Esthetics & Nails-Decatur,39.846081,-88.933574
National Louis University,41.880093,-87.624699
National University of Health Sciences,41.861697,-88.013171
Niles School of Cosmetology,42.027601,-87.815113
North Central College,41.77576,-88.14279
North Park University,41.975268,-87.709948
Northern Baptist Theological Seminary,41.809104,-88.056162
Northern Illinois University,41.933869,-88.766428
Northwestern University,42.050356,-87.679858
Northeastern Illinois University,41.980399,-87.718983
Oakton Community College,42.061893,-87.880644
Oehrlein School of Cosmetology,40.665832,-89.55712
Olivet Nazarene University,41.155237,-87.875165
Parkland College,40.131963,-88.290359
Prairie State College,41.525316,-87.638943
Principia College,38.948835,-90.350285
Professional's Choice Hair Design Academy,41.523122,-88.148846
Quincy University,39.938898,-91.385975
Rend Lake College,38.131481,-88.918283
Richland Community College,39.883887,-88.894125
Robert Morris University Illinois,41.876278,-87.627068
Rock Valley College,42.306174,-88.993544
Madison Media Institute-Rockford Career College,42.255723,-89.02722
Rockford University,42.270639,-89.019536
Roosevelt University,41.876055,-87.624952
Dominican University,41.902678,-87.823003
Rush University,41.874742,-87.668581
Saint Francis Medical Center College of Nursing,40.701241,-89.590322
University of St Francis,41.532225,-88.096057
St. John's College-Department of Nursing,39.807602,-89.64532
Saint Xavier University,41.707199,-87.714749
University of Illinois at Springfield,39.729524,-89.616796
Sauk Valley Community College,41.817659,-89.596483
Shawnee Community College,37.270198,-89.03352
Saint Augustine College,41.972414,-87.662806
University of Saint Mary of the Lake,42.280702,-88.000262
Southeastern Illinois College,37.75174,-88.436631
National Latino Education Institute,41.822756,-87.675917
Spertus College,41.873881,-87.624785
Spoon River College,40.527991,-90.07233
Saint Anthony College of Nursing,42.310147,-88.991968
Educators of Beauty College of Cosmetology-Sterling,41.788581,-89.692522
Southern Illinois University-Carbondale,37.714193,-89.217273
Southern Illinois University-Edwardsville,38.793949,-89.997779
Taylor Business Institute,41.885452,-87.62671
Telshe Yeshiva-Chicago,41.975536,-87.71755
South Suburban College,41.606427,-87.619123
Tri-County Beauty Academy,39.176137,-89.655742
Trinity Christian College,41.667687,-87.783973
Trinity International University-Illinois,42.197945,-87.880851
Triton College,41.916082,-87.841056
University of Spa & Cosmetology Arts,39.76672,-89.710839
VanderCook College of Music,41.836833,-87.629138
Waubonsee Community College,41.795955,-88.459925
Resurrection University,41.90748,-87.685291
Western Illinois University,40.468086,-90.686899
Wheaton College,41.870176,-88.099643
William Rainey Harper College,42.081829,-88.072811
Ancilla College,41.337958,-86.445263
Anderson University,40.112768,-85.664315
Ball State University,40.203431,-85.409043
Bethel College-Indiana,41.678399,-86.194686
Butler University,39.8374,-86.172167
Calumet College of Saint Joseph,41.671008,-87.494123
Christian Theological Seminary,39.832673,-86.178551
College of Court Reporting Inc,41.467574,-87.066331
Concordia Theological Seminary,41.139321,-85.10994
Tricoci University of Beauty Culture-Highland,41.555885,-87.467018
DePauw University,39.640904,-86.860363
Don Roberts School of Hair Design,41.485532,-87.447089
Don Roberts Beauty School,41.472714,-87.077791
Earlham College,39.823431,-84.915037
University of Evansville,37.971549,-87.531644
Franklin College,39.478298,-86.047182
Goshen College,41.563582,-85.827795
Grace College and Theological Seminary,41.22595,-85.814228
Hanover College,38.715642,-85.460051
J Michael Harrold Beauty Academy,39.470359,-87.383391
Holy Cross College,41.698996,-86.253822
PJ's College of Cosmetology-Clarksville,38.3121,-85.768914
Huntington University,40.898152,-85.497317
Ivy Tech Community College,39.803753,-86.158213
Purdue University Fort Wayne,41.117278,-85.108962
Indiana University-Purdue University-Indianapolis,39.772948,-86.172217
University of Indianapolis,39.709571,-86.133969
Indiana Institute of Technology,41.078365,-85.116479
University of Southern Indiana,37.962374,-87.677214
Indiana State University,39.469073,-87.407846
Indiana University-Kokomo,40.460062,-86.132048
Indiana University-South Bend,41.665324,-86.221991
Indiana University-Bloomington,39.16609,-86.526559
Indiana University-Northwest,41.557324,-87.337249
Indiana University-Southeast,38.345191,-85.819985
Indiana University-East,39.868707,-84.881923
International Business College-Fort Wayne,41.035006,-85.257786
International Business College-Indianapolis,39.885628,-86.041648
Knox Beauty College,41.287712,-86.618158
Tricoci University of Beauty Culture-Lafayette,40.419818,-86.887007
Empire Beauty School-Indianapolis,39.666467,-86.100614
Lincoln College of Technology-Indianapolis,39.884503,-86.246276
Manchester University,41.010549,-85.762643
Marian University,39.813233,-86.202643
Indiana Wesleyan University-Marion,40.517937,-85.667503
Martin University,39.798144,-86.103953
Anabaptist Mennonite Biblical Seminary,41.656013,-85.972165
Mid-America College of Funeral Service,38.31209,-85.744696
West Michigan College of Barbering and Beauty,42.259329,-85.590244
University of Notre Dame,41.703058,-86.238959
Oakland City University,38.340891,-87.35144
PJ's College of Cosmetology-Richmond,39.83227,-84.842601
Ravenscroft Beauty College,41.121802,-85.046078
Rogers Academy of Hair Design,37.983756,-87.609744
Rose-Hulman Institute of Technology,39.483602,-87.326749
University of Saint Francis-Fort Wayne,41.087205,-85.177246
Saint Mary-of-the-Woods College,39.508546,-87.463791
Saint Mary's College,41.707274,-86.256947
Saint Meinrad School of Theology,38.165546,-86.810388
Saint Elizabeth School of Nursing,40.427401,-86.88083
Taylor University,40.456246,-85.497034
Trine University,41.632502,-85.008009
Valparaiso University,41.462239,-87.040172
Vincennes Beauty College,38.679739,-87.53241
Vincennes University,38.687766,-87.519939
Wabash College,40.037588,-86.906
Allen College,42.530084,-92.340148
Briar Cliff University,42.526443,-96.428444
Buena Vista University,42.642255,-95.208529
Capri College-Dubuque,42.497357,-90.665565
Capri College-Cedar Rapids,41.960734,-91.710201
Central College,41.401539,-92.922199
Clarke University,42.509475,-90.690487
Coe College,41.988263,-91.658192
Cornell College,41.924554,-91.423741
Iowa School of Beauty-Marshalltown,42.015283,-92.915054
Des Moines Area Community College,41.707348,-93.611597
Divine Word College,42.441721,-90.934578
Dordt College,43.082527,-96.166562
Drake University,41.60129,-93.652163
University of Dubuque,42.49726,-90.693428
Ellsworth Community College,42.527524,-93.265853
Emmaus Bible College,42.508307,-90.706011
Eastern Iowa Community College District,41.522179,-90.574459
Faith Baptist Bible College and Theological Seminary,41.737082,-93.624422
Faust Institute of Cosmetology-Storm Lake,42.654449,-95.201412
Graceland University-Lamoni,40.615966,-93.924893
Grand View University,41.620813,-93.604352
Grinnell College,41.747952,-92.722094
Purdue University Global-Mason City,43.149615,-93.238946
Purdue University Global-Cedar Rapids,41.949597,-91.713507
Hamilton Technical College,41.573888,-90.560088
Hawkeye Community College,42.430003,-92.330633
American Hair Academy,40.962643,-91.524949
Indian Hills Community College,41.045105,-92.394736
Iowa Central Community College,42.490067,-94.20299
Iowa Lakes Community College,43.397996,-94.817142
UnityPoint Health-Des Moines School of Radiologic Technology,41.590094,-93.635129
American College of Hairstyling-Des Moines,41.592324,-93.610159
Iowa School of Beauty-Des Moines,41.624684,-93.711628
Iowa State University,42.026212,-93.648504
Iowa Wesleyan University,40.973791,-91.552459
Iowa Western Community College,41.272168,-95.797975
University of Iowa,41.661935,-91.536425
Kirkwood Community College,41.911268,-91.651172
La James International College-Cedar Falls,42.515026,-92.434496
La James International College-Johnston,41.661015,-93.738577
La James College of Hairstyling and Cosmetology,43.153786,-93.199881
La James International College-Ft Dodge,42.5005,-94.163856
Loras College,42.503908,-90.679023
Luther College,43.312304,-91.802809
Maharishi University of Management,41.017781,-91.967306
Marshalltown Community College,42.00065,-92.909411
Mercy College of Health Sciences,41.594559,-93.626238
Morningside College,42.473891,-96.359464
Mount Mercy University,42.001931,-91.650991
Ashford University,32.8273,-117.141961
North Iowa Area Community College,43.157169,-93.13126
University of Northern Iowa,42.514923,-92.459703
Northwestern College,42.999007,-96.058772
Northeast Iowa Community College,43.17523,-91.867105
Northwest Iowa Community College,43.184701,-95.880639
Des Moines University-Osteopathic Medical Center,41.583325,-93.661686
Iowa School of Beauty-Ottumwa,41.02334,-92.417948
Palmer College of Chiropractic,41.529021,-90.574607
PCI Academy-Ames,41.99767,-93.613611
Saint Ambrose University,41.54065,-90.579854
St Luke's College,42.520081,-96.404724
La James International College-Davenport,41.572861,-90.5682
La James International College-Iowa City,41.663433,-91.532038
Simpson College,41.365503,-93.563471
Southeastern Community College,40.814496,-91.171881
Southwestern Community College,41.073437,-94.380906
Capri College-Davenport,41.575211,-90.538828
Iowa School of Beauty-Sioux City,42.441812,-96.365842
E Q School of Hair Design,41.235617,-95.858073
Upper Iowa University,42.838283,-91.799543
Waldorf University,43.262923,-93.641714
Wartburg College,42.7277,-92.483387
Wartburg Theological Seminary,42.485761,-90.691225
The Salon Professional Academy-Cedar Falls,42.511022,-92.433262
Western Iowa Tech Community College,42.482953,-96.348874
William Penn University,41.310111,-92.647095
Allen County Community College,37.938038,-95.396377
Baker University,38.777278,-95.188231
Barton County Community College,38.403529,-98.731648
Benedictine College,39.572646,-95.111473
Bethany College,38.580598,-97.67367
Bethel College-North Newton,38.075169,-97.343256
Butler Community College,37.806699,-96.882987
Central Christian College of Kansas,38.357978,-97.668597
Cloud County Community College,39.554199,-97.664147
Coffeyville Community College,37.033814,-95.621374
Colby Community College,39.377601,-101.052744
Cowley County Community College,37.061668,-97.043075
Dodge City Community College,37.776891,-100.037481
Donnelly College,39.112256,-94.650677
Emporia State University,38.414784,-96.179021
Flint Hills Technical College,38.41888,-96.224141
Fort Hays State University,38.872156,-99.342503
Barclay College,37.62012,-99.105351
Friends University,37.678459,-97.367048
Fort Scott Community College,37.816206,-94.715334
Garden City Community College,37.970151,-100.848082
Haskell Indian Nations University,38.938834,-95.232879
Hays Academy of Hair Design,38.884873,-99.310623
Hesston College,38.134558,-97.433883
Highland Community College,39.859987,-95.271539
Hutchinson Community College,38.068035,-97.92135
Independence Community College,37.195614,-95.720518
Johnson County Community College,38.924125,-94.727798
Concorde Career College-Kansas City,39.06799,-94.589819
Kansas City Kansas Community College,39.121911,-94.748061
Kansas Christian College,38.994848,-94.666878
University of Kansas,38.958549,-95.247567
Newman University,37.672643,-97.37768
Old Town Barber College-Wichita,37.68586,-97.323179
Kansas State University,39.188648,-96.581077
Kansas Wesleyan University,38.813795,-97.607973
Washburn Institute of Technology,39.04497,-95.751158
Labette Community College,37.339062,-95.255368
Manhattan Area Technical College,39.197774,-96.615672
Manhattan Christian College,39.184806,-96.579383
McPherson College,38.371422,-97.642996
MidAmerica Nazarene University,38.875615,-94.781635
Neosho County Community College,37.670672,-95.464976
North Central Kansas Technical College,39.482419,-98.110826
Northwest Kansas Technical College,39.346424,-101.70022
Ottawa University-Ottawa,38.603173,-95.264187
Ottawa University-Kansas City,38.932055,-94.635461
Pittsburg State University,37.392071,-94.702473
Pratt Community College,37.654451,-98.714538
University of Saint Mary,39.279396,-94.906743
Salina Area Technical College,38.793582,-97.636892
Seward County Community College,37.059807,-100.917695
Southwestern College,37.248608,-96.975405
Sterling College,38.219937,-98.208644
Tabor College,38.348606,-97.200949
Washburn University,39.033778,-95.702222
Wichita State University-Campus of Applied Sciences and Technology,37.75764,-97.224151
Wichita State University,37.718882,-97.292361
Wichita Technical Institute,37.656976,-97.371819
Alice Lloyd College,37.335087,-82.875068
Asbury University,37.862029,-84.662606
Asbury Theological Seminary,37.861561,-84.660127
Ashland Community and Technical College,38.469201,-82.650664
Barrett and Company School of Hair Design,37.866361,-84.580326
Bellarmine University,38.219279,-85.704997
Berea College,37.57202,-84.292893
PJ's College of Cosmetology-Bowling Green,36.979195,-86.469756
Southcentral Kentucky Community and Technical College,36.984827,-86.476717
Brescia University,37.769041,-87.111639
Campbellsville University,37.343342,-85.348943
Bluegrass Community and Technical College,38.024808,-84.503665
Centre College,37.645709,-84.779392
Clear Creek Baptist Bible College,36.725236,-83.727702
Paul Mitchell the School-Lexington,37.980361,-84.548281
Galen College of Nursing-Louisville,38.277005,-85.695972
University of the Cumberlands,36.737048,-84.161646
Eastern Kentucky University,37.740845,-84.300796
Elizabethtown Community and Technical College,37.692858,-85.879927
Frontier Nursing University,37.165605,-83.37937
Georgetown College,38.207615,-84.553767
PJ's College of Cosmetology-Glasgow,37.012713,-85.922275
Hazard Community and Technical College,37.234897,-83.175644
Paul Mitchell the School-Louisville,38.24897,-85.578849
Henderson Community College,37.797687,-87.650091
Hopkinsville Community College,36.882654,-87.488297
Jefferson Community and Technical College,38.246027,-85.753615
Summit Salon Academy-Lexington,38.028451,-84.453521
American National University-Lexington,38.026996,-84.421099
Kentucky Mountain Bible College,37.603443,-83.438765
Kentucky State University,38.201427,-84.855402
Kentucky Wesleyan College,37.744489,-87.119658
University of Kentucky,38.038911,-84.504747
Kentucky Christian University,38.338805,-82.945561
Lexington Theological Seminary,37.996332,-84.526079
Lindsey Wilson College,37.101502,-85.299997
University of Louisville,38.216862,-85.760412
Louisville Presbyterian Theological Seminary,38.237056,-85.686411
Madisonville Community College,37.362661,-87.512137
Maysville Community and Technical College,38.626607,-83.806786
Midway University,38.146126,-84.678142
Morehead State University,38.186768,-83.434021
Murray State University,36.612419,-88.323629
Gateway Community and Technical College,38.960638,-84.633478
Northern Kentucky University,39.029714,-84.463483
West Kentucky Community and Technical College,37.054081,-88.658762
University of Pikeville,37.479232,-82.521063
Big Sandy Community and Technical College,37.688248,-82.778847
Empire Beauty School-Chenoweth,38.255764,-85.65752
Empire Beauty School-Elizabethtown,37.697453,-85.878557
Empire Beauty School-Dixie,38.167059,-85.830866
Empire Beauty School-Florence,39.009553,-84.628998
Somerset Community College,37.059599,-84.617546
Southeast Kentucky Community and Technical College,36.966051,-82.997661
The Southern Baptist Theological Seminary,38.248216,-85.687649
Spalding University,38.242407,-85.757725
Sullivan University,38.212824,-85.670489
Thomas More College,39.022963,-84.568923
Transylvania University,38.052983,-84.493202
Trend Setters' Academy of Beauty Culture-Louisville,38.144782,-85.838494
Union College,36.870875,-83.888477
Western Kentucky University,36.985035,-86.456828
Central Louisiana Technical Community College,31.260003,-92.444506
Ayers Career College,32.418291,-93.798229
Baton Rouge General Medical Center-School of Nursing,30.449088,-91.153084
Baton Rouge School of Computers,30.422155,-91.080837
Bossier Parish Community College,32.539551,-93.646881
Centenary College of Louisiana,32.483335,-93.730834
Cloyd's Beauty School 1 Inc,32.499976,-92.126506
Crescent City Bartending School,29.966842,-90.086679
D'Jay's Institute of Cosmetology and Esthiology,30.462232,-91.071568
Delgado Community College,29.985149,-90.103962
Avery James School of Cosmetology,30.202601,-93.219712
Denham Springs Beauty School,30.484636,-90.944774
Dillard University,29.996587,-90.06464
Nunez Community College,29.95419,-89.95888
Grambling State University,32.523797,-92.713245
Guy's Shreveport Academy of Cosmetology Inc,32.485759,-93.706628
ITI Technical College,30.369764,-91.030485
John Jay Beauty College,30.007684,-90.230259
Louisiana State University Health Sciences Center-New Orleans,29.957272,-90.083145
Louisiana State University-Alexandria,31.178616,-92.414409
Louisiana State University and Agricultural & Mechanical College,30.414986,-91.178921
Louisiana State University-Eunice,30.473292,-92.434523
Louisiana State University-Shreveport,32.428465,-93.70561
Aveda Institute-Baton Rouge,30.426526,-91.054308
Aveda Institute-Lafayette,30.206168,-92.042092
Louisiana Academy of Beauty,30.495111,-92.408948
Louisiana College,31.324528,-92.425973
Opelousas School of Cosmetology,30.53165,-92.077854
Louisiana Tech University,32.528297,-92.649963
Loyola University New Orleans,29.936141,-90.120417
McNeese State University,30.178187,-93.217222
University of New Orleans,30.027704,-90.067142
New Orleans Baptist Theological Seminary,30.004336,-90.043439
Nicholls State University,29.794486,-90.801571
University of Louisiana at Monroe,32.527748,-92.07374
Northwest Louisiana Technical College,32.586037,-93.26302
Northwestern State University of Louisiana,31.750666,-93.097797
University of Holy Cross,29.912003,-89.99445
Franciscan Missionaries of Our Lady University,30.401379,-91.110587
Pat Goins Benton Road Beauty School,32.516422,-93.719361
Celebrity Stylist Beauty School,32.52121,-92.085347
Pineville Beauty School,31.325717,-92.430903
Aveda Institute-Covington,30.494049,-90.104008
Saint Joseph Seminary College,30.526778,-90.113621
Vanguard College of Cosmetology-Slidell,30.226578,-89.780944
South Louisiana Beauty College,29.592656,-90.696772
Fletcher Technical Community College,29.690884,-90.811707
Remington College-Lafayette Campus,30.16862,-92.023767
SOWELA Technical Community College,30.217331,-93.16252
Stevensons Academy of Hair Design,29.948438,-90.052219
Southeastern Louisiana University,30.514652,-90.468676
Southern University and A & M College,30.524558,-91.190105
Southern University at New Orleans,30.026162,-90.044912
Southern University at Shreveport,32.545632,-93.834559
University of Louisiana at Lafayette,30.212191,-92.020165
Northshore Technical Community College,30.379147,-89.899196
Tulane University of Louisiana,29.940069,-90.122144
Xavier University of Louisiana,29.964162,-90.107307
South Central Louisiana Technical College,29.690728,-91.197848
Purdue University Global-Lewiston,44.09104,-70.214094
College of the Atlantic,44.395258,-68.221517
Bates College,44.105299,-70.203333
Beal College,44.786465,-68.785428
Bowdoin College,43.907134,-69.963942
Maine College of Health Professions,44.100458,-70.21732
Central Maine Community College,44.134346,-70.235498
Colby College,44.564211,-69.66337
Eastern Maine Community College,44.826048,-68.74445
Kennebec Valley Community College,44.594149,-69.61157
The Landing School,43.380492,-70.503619
University of Maine at Augusta,44.337746,-69.796396
University of Maine at Farmington,44.666911,-70.147121
University of Maine at Fort Kent,47.250389,-68.589319
University of Maine at Machias,44.708803,-67.458025
University of Maine,44.899257,-68.669332
Maine Maritime Academy,44.389654,-68.804347
University of Maine at Presque Isle,46.672285,-68.016343
University of New England,43.458591,-70.38535
Northern Maine Community College,46.694668,-68.034796
Empire Beauty School-Maine,43.667885,-70.258154
Maine College of Art,43.655743,-70.261015
Saint Joseph's College of Maine,43.826314,-70.483373
Spa Tech Institute-Westbrook,43.67659,-70.335331
Southern Maine Community College,43.646649,-70.229182
University of Southern Maine,43.662863,-70.274247
Thomas College,44.524909,-69.664734
Unity College,44.603165,-69.332276
Washington County Community College,45.165537,-67.243306
Allegany College of Maryland,39.652152,-78.730398
Anne Arundel Community College,39.049813,-76.512223
Award Beauty School,39.640443,-77.720283
Baltimore Studio of Hair Design,39.293371,-76.620008
Baltimore City Community College,39.319978,-76.662878
University of Baltimore,39.305834,-76.616591
Bowie State University,39.018185,-76.759721
Capitol Technology University,39.046673,-76.850231
Cecil College,39.642225,-75.955949
College of Southern Maryland,38.55895,-77.009245
Chesapeake College,38.952193,-76.083668
Washington Adventist University,38.986349,-77.000608
Coppin State University,39.311258,-76.658687
Delmarva Beauty Academy,38.339006,-75.601701
North American Trade Schools,39.309556,-76.749455
Frederick Community College,39.452241,-77.417849
Frostburg State University,39.650918,-78.934293
Garrett College,39.560493,-79.342923
Goucher College,39.410175,-76.594843
Purdue University Global-Hagerstown,39.6729,-77.722799
Hagerstown Community College,39.631009,-77.667379
Harford Community College,39.56131,-76.282845
Hood College,39.420631,-77.419049
Howard Community College,39.213636,-76.877964
Aveda Institute-Maryland,39.531933,-76.349927
Johns Hopkins University,39.328977,-76.621595
Lincoln College of Technology-Columbia,39.174673,-76.836463
Loyola University Maryland,39.346358,-76.621872
University of Maryland-University College,38.912706,-76.847584
University of Maryland Baltimore,39.286864,-76.623983
University of Maryland-Baltimore County,39.256686,-76.711607
University of Maryland-College Park,38.988178,-76.944721
Maryland Institute College of Art,39.308792,-76.621033
University of Maryland Eastern Shore,38.207386,-75.686852
Fortis Institute-Towson,39.403271,-76.604593
Montgomery Beauty School,38.999622,-77.001966
Montgomery College,39.098656,-77.15929
Morgan State University,39.344161,-76.585565
Mount St. Mary's University,39.681705,-77.351887
Ner Israel Rabbinical College,39.388021,-76.753526
Hair Academy Inc-New Carrollton,38.956205,-76.869467
Notre Dame of Maryland University,39.350612,-76.619739
Prince George's Community College,38.888689,-76.824623
Robert Paul Academy of Cosmetology Arts & Sciences,39.4448,-76.624983
Maryland Beauty Academy of Essex,39.29844,-76.509213
Salisbury University,38.34648,-75.604815
St. Mary's College of Maryland,38.190904,-76.429097
St. John's College,38.981598,-76.491359
Towson University,39.393622,-76.611164
Maryland University of Integrative Health,39.165872,-76.888025
United States Naval Academy,38.980507,-76.481692
Stevenson University,39.421988,-76.702092
Washington College,39.217329,-76.06878
McDaniel College,39.584231,-77.001992
Wor-Wic Community College,38.373723,-75.499659
Hult International Business School,42.369968,-71.070645
New England College of Business and Finance,42.353619,-71.056671
American International College,42.112346,-72.558338
Amherst College,42.372459,-72.518493
Andover Newton Theological School,41.323386,-72.92138
Anna Maria College,42.330542,-71.91896
Assabet Valley Regional Technical School,42.36775,-71.567281
Assumption College,42.294226,-71.828991
Babson College,42.297017,-71.264057
Bancroft School of Massage Therapy,42.268973,-71.778113
Boston Baptist College,42.254037,-71.1103
Bay Path University,42.055088,-72.583382
Bay State College,42.35176,-71.076991
Bay State School of Technology,42.179506,-71.114231
Becker College,42.269171,-71.811894
Bentley University,42.385995,-71.222839
Berklee College of Music,42.346646,-71.089405
Berkshire Community College,42.45975,-73.314704
Empire Beauty School-Boston,42.354683,-71.062722
Boston Architectural College,42.348467,-71.085786
Boston Graduate School of Psychoanalysis Inc,42.33912,-71.133151
Boston College,42.336213,-71.169242
Boston University,42.351118,-71.107942
Brandeis University,42.365727,-71.260155
Bridgewater State University,41.98749,-70.974553
Bristol Community College,41.721994,-71.119133
Signature Healthcare Brockton Hospital School of Nursing,42.08736,-70.991415
Bunker Hill Community College,42.374806,-71.069263
Cambridge College,42.381091,-71.072646
Cape Cod Community College,41.691911,-70.337334
Catherine Hinds Institute of Esthetics,42.493212,-71.13715
Laboure College,42.260866,-71.058279
Clark University,42.249987,-71.823356
Conway School of Landscape Design,42.313857,-72.64875
Curry College,42.238061,-71.116539
Lincoln Technical Institute-Somerville,42.390826,-71.082082
Dean College,42.085634,-71.397813
Diman Regional Technical Institute,41.699857,-71.124742
National Aviation Academy of New England,42.462164,-71.387244
Eastern Nazarene College,42.271228,-71.011079
Emerson College,42.352202,-71.065384
Emmanuel College,42.340602,-71.103634
Endicott College,42.553296,-70.840847
Rob Roy Academy-Fall River,41.698905,-71.157664
Fisher College,42.355253,-71.074125
Fitchburg State University,42.588298,-71.789666
Framingham State University,42.297116,-71.437565
Benjamin Franklin Institute of Technology,42.346023,-71.070231
Gordon College,42.590567,-70.82151
Gordon-Conwell Theological Seminary,42.613475,-70.846387
Greenfield Community College,42.599512,-72.630977
Hampshire College,42.325852,-72.531469
Harvard University,42.374471,-71.118313
Hebrew College,42.325677,-71.189226
Hellenic College-Holy Cross Greek Orthodox School of Theology,42.317018,-71.129418
College of the Holy Cross,42.23752,-71.808214
Holyoke Community College,42.194781,-72.651252
Lasell College,42.342148,-71.24347
Lawrence Memorial Hospital School of Nursing,42.42581,-71.110958
Lesley University,42.38012,-71.117303
Longy School of Music of Bard College,42.378657,-71.123479
Lowell Academy Hairstyling Institute,42.643609,-71.308309
University of Massachusetts-Lowell,42.652864,-71.326809
University of Massachusetts-Amherst,42.385999,-72.526728
University of Massachusetts-Boston,42.312881,-71.036865
Massachusetts Bay Community College,42.312292,-71.263821
MCPHS University,42.336825,-71.101244
Massachusetts College of Art and Design,42.336862,-71.099275
Massachusetts Institute of Technology,42.359243,-71.093226
Massachusetts Maritime Academy,41.739072,-70.624084
University of Massachusetts Medical School Worcester,42.278002,-71.762144
William James College,42.294995,-71.203256
Massachusetts School of Barbering,42.247457,-71.001891
Massasoit Community College,42.07507,-70.989799
Merrimack College,42.668344,-71.124216
MGH Institute of Health Professions,42.375018,-71.054002
Middlesex Community College,42.524328,-71.274931
Montserrat College of Art,42.550212,-70.876131
Mount Holyoke College,42.256838,-72.575511
Mount Wachusett Community College,42.593142,-71.984148
Rob Roy Academy-New Bedford,41.671921,-70.925187
The New England Conservatory of Music,42.340946,-71.08629
New England College of Optometry,42.351853,-71.086829
New England Law-Boston,42.350833,-71.0665
New England School of Photography,42.371534,-71.23665
Newbury College,42.331032,-71.142082
Nichols College,42.044033,-71.930283
Massachusetts College of Liberal Arts,42.691361,-73.102817
North Bennet Street School,42.36279,-71.05452
North Shore Community College,42.590103,-70.968044
Northeastern University,42.339992,-71.088782
Northern Essex Community College,42.796634,-71.04904
College of Our Lady of the Elms,42.141781,-72.60154
Pine Manor College,42.320827,-71.156464
Pope St John XXIII National Seminary,42.339408,-71.311059
Quincy College,42.252416,-71.003476
Quinsigamond Community College,42.31379,-71.79503
Regis College,42.351291,-71.310561
Roxbury Community College,42.329249,-71.09549
Saint John's Seminary,42.344146,-71.161998
Salem State University,42.503575,-70.890234
Salter College-West Boylston,42.351715,-71.787799
Simmons University,42.3393,-71.099967
Bard College at Simon's Rock,42.208803,-73.379201
Smith College,42.318111,-72.638097
Southeastern Technical Institute,42.010312,-71.081227
Springfield College,42.101576,-72.556751
Springfield Technical Community College,42.108827,-72.578514
University of Massachusetts-Dartmouth,41.62869,-71.004552
Stonehill College,42.05905,-71.080632
Suffolk University,42.357945,-71.060917
Rob Roy Academy-Taunton,41.901945,-71.091966
Tufts University,42.40855,-71.118293
Wellesley College,42.291554,-71.306605
Wentworth Institute of Technology,42.336632,-71.094983
Western New England University,42.115017,-72.520466
Westfield State University,42.132698,-72.796503
Wheaton College,41.966637,-71.183979
Williams College,42.712725,-73.203132
Worcester Polytechnic Institute,42.274853,-71.808339
Worcester State University,42.267526,-71.844018
Adrian College,41.898591,-84.061481
Albion College,42.245049,-84.745639
Hillsdale Beauty College,41.918718,-84.631429
Northwestern Technological Institute,42.469188,-83.238529
Alma College,43.38004,-84.672053
Alpena Community College,45.081647,-83.445069
Andrews University,41.963859,-86.355815
Aquinas College,42.96019,-85.628785
Baker College,42.974764,-83.694679
Bay de Noc Community College,45.772586,-87.085228
Bayshire Academy of Beauty Craft Inc,43.599758,-83.88895
Calvin College,42.929916,-85.587548
Calvin Theological Seminary,42.927951,-85.586439
Carnegie Institute,42.53889,-83.118801
Michigan School of Psychology,42.491427,-83.359575
Central Michigan University,43.591203,-84.77525
Mott Community College,43.019941,-83.67243
Empire Beauty School-Michigan,43.028642,-85.691067
