INSTNM,STABBR,COSTT4_A,AVGFACSAL,MD_EARN_WNE_P10,ADM_RATE,SAT_AVG,DEBT_MDN,UGDS
Platt College-Arizona Automotive Institute Arizona,AZ,NULL,NULL,34400,NULL,NULL,9500,505
Brookline College-Phoenix,AZ,NULL,4757,21900,NULL,NULL,9335,828
Arizona State University-Tempe,AZ,21960,10405,45400,0.8023,1145,13713,38480
Arizona Western College,AZ,14337,9023,27600,NULL,NULL,3500,7442
University of Arizona,AZ,23905,10320,45800,0.7692,1106,12000,31399
Southwest University of Visual Arts-Tucson,AZ,49519,3141,28500,NULL,NULL,31000,216
Brillare Hairdressing Academy,AZ,NULL,NULL,24100,NULL,NULL,7349,226
Central Arizona College,AZ,9205,6164,27300,NULL,NULL,4500,5462
Brown Mackie College-Tucson,AZ,24344,4926,29600,NULL,NULL,9500,684
Charles of Italy Beauty College,AZ,NULL,NULL,13800,NULL,NULL,6111,83
Cochise County Community College District,AZ,9792,6249,28100,NULL,NULL,3500,3787
Empire Beauty School-Flagstaff,AZ,NULL,NULL,17800,NULL,NULL,5500,53
Empire Beauty School-Chandler,AZ,NULL,NULL,17800,NULL,NULL,5500,113
Cortiva Institute-Tucson,AZ,NULL,NULL,20100,NULL,NULL,6333,143
Avalon School of Cosmetology-Mesa,AZ,NULL,NULL,20300,NULL,NULL,9566.5,273
Eastern Arizona College,AZ,11649,8016,28400,NULL,NULL,PrivacySuppressed,4812
Embry-Riddle Aeronautical University-Prescott,AZ,45228,8387,62400,0.7898,1171,9375,1802
School of Architecture at Taliesin,AZ,NULL,4214,NULL,NULL,NULL,PrivacySuppressed,2
Glendale Community College,AZ,12043,8601,33800,NULL,NULL,3500,16623
Grand Canyon University,AZ,31613,5473,49200,0.548,NULL,6687,34643
Anthem College-Phoenix,AZ,32523,3848,27500,NULL,NULL,9556,2238
Olympian Academy of Cosmetology,AZ,NULL,NULL,24700,NULL,NULL,7476,210
Kaplan College-Phoenix,AZ,NULL,3568,27800,NULL,NULL,9500,93
GateWay Community College,AZ,12673,8912,31700,NULL,NULL,5250,5653
Mesa Community College,AZ,12744,8926,34600,NULL,NULL,3500,20120
ITT Technical Institute-Tucson,AZ,26194,5163,38800,0.9703,NULL,12224,409
ITT Technical Institute-Tempe,AZ,26194,5549,38800,0.9796,NULL,12224,498
Mohave Community College,AZ,15718,6105,27200,NULL,NULL,6250,4759
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ,NULL,NULL,36600,NULL,NULL,16000,2049
Dine College,AZ,11396,5200,20400,NULL,NULL,PrivacySuppressed,1425
Northern Arizona University,AZ,22771,7863,39300,0.9137,1050,12493,22011
Northland Pioneer College,AZ,13342,5997,24900,NULL,NULL,PrivacySuppressed,1641
Ottawa University-Phoenix,AZ,NULL,5768,40100,NULL,NULL,11250,335
Phoenix College,AZ,12521,8822,31000,NULL,NULL,5000,10234
Cortiva Institute-Scottsdale,AZ,NULL,NULL,22400,NULL,NULL,7600,87
University of Phoenix-Phoenix Campus,AZ,24167,2795,48400,NULL,NULL,9254,3044
Pima Community College,AZ,7367,7131,30100,NULL,NULL,4000,26600
Pima Medical Institute-Tucson,AZ,NULL,5056,27700,NULL,NULL,8313,1726
Pima Medical Institute-Albuquerque,NM,NULL,2524,27700,NULL,NULL,8313,930
Prescott College,AZ,40206,4248,32500,0.7293,1094,16146,540
Refrigeration School Inc,AZ,NULL,3493,40800,NULL,NULL,9964.5,621
Rio Salado College,AZ,11811,8791,38100,NULL,NULL,3500,10217
Roberto-Venn School of Luthiery,AZ,NULL,NULL,23500,NULL,NULL,7307,39
Hair Academy of Safford,AZ,NULL,NULL,PrivacySuppressed,NULL,NULL,6808,64
Scottsdale Community College,AZ,12970,8995,35400,NULL,NULL,3500,7687
South Mountain Community College,AZ,12343,9324,28900,NULL,NULL,4601,3980
Arizona Christian University,AZ,34444,4617,33600,0.6076,1045,12500,491
Tucson College,AZ,NULL,NULL,22700,NULL,NULL,9498,284
Universal Technical Institute of Arizona Inc,AZ,NULL,4711,43700,NULL,NULL,13132,2337
Western International University,AZ,26118,7758,47500,NULL,NULL,10531.5,1369
Empire Beauty School-NW Phoenix,AZ,NULL,NULL,17000,NULL,NULL,5500,172
Yavapai College,AZ,12950,6481,27700,NULL,NULL,4565.5,6072
University of Arkansas at Little Rock,AR,19894,7480,33500,0.5274,1077,9501,8504
University of Arkansas for Medical Sciences,AR,NULL,7805,60700,NULL,NULL,12500,755
ABC Beauty College Inc,AR,NULL,NULL,PrivacySuppressed,NULL,NULL,10500,32
Arkansas Baptist College,AR,20024,4233,22300,NULL,NULL,9500,1022
Arkansas Beauty School-Little Rock,AR,NULL,NULL,15500,NULL,NULL,6333,37
Arkansas Beauty College,AR,NULL,NULL,PrivacySuppressed,NULL,NULL,5500,46
Lyon College,AR,33355,6354,40500,0.5898,1142,12000,570
Arkansas College of Barbering and Hair Design,AR,NULL,NULL,14700,NULL,NULL,9274,134
Arthur's Beauty College Inc-Fort Smith,AR,NULL,NULL,15900,NULL,NULL,6775,50
University of Arkansas,AR,19917,8902,43100,0.5858,1156,12500,20776
University of Arkansas at Pine Bluff,AR,15414,5341,26700,0.277,842,10748.5,2503
Arkansas State University-Beebe,AR,11558,5083,29000,NULL,NULL,4384.5,3217
Arkansas State University-Main Campus,AR,18809,6957,31700,0.7551,1088,9363.5,9325
Arkansas Tech University,AR,16126,6096,33000,0.8503,1008,7660,8734
University of Arkansas at Monticello,AR,16255,5282,30600,NULL,NULL,5500,3024
Arthur's Beauty College Inc-Jacksonville,AR,NULL,NULL,14100,NULL,NULL,9500,64
Baptist Health College Little Rock,AR,18846,NULL,44800,0.8615,970,9500,918
Black River Technical College,AR,11401,4485,25600,NULL,NULL,5336.5,1894
University of Central Arkansas,AR,17899,6434,36900,0.8997,1070,9500,9261
Central Baptist College,AR,20386,4948,33700,0.5407,974,9500,769
Cossatot Community College of the University of Arkansas,AR,11753,4802,23400,NULL,NULL,PrivacySuppressed,1129
Crowley's Ridge College,AR,18790,3401,28000,NULL,NULL,8000,153
Crowley's Ridge Technical Institute,AR,8644,NULL,18200,NULL,NULL,PrivacySuppressed,286
East Arkansas Community College,AR,8767,5208,20300,NULL,NULL,2000,922
Eastern College of Health Vocations-Little Rock,AR,NULL,NULL,19600,NULL,NULL,3797,302
Imagine-Paul Mitchell Partner School,AR,NULL,NULL,PrivacySuppressed,NULL,NULL,9833,482
National Park College,AR,13836,4629,24900,NULL,NULL,8764.5,2445
University of Arkansas Community College-Batesville,AR,7631,4392,23800,NULL,NULL,5500,1090
Harding University,AR,25475,7082,38600,0.7628,1139,16830,4428
Henderson State University,AR,18033,5606,34900,0.6221,1011,7788,3190
Hendrix College,AR,50172,7233,40600,0.8039,1267,19500,1428
Hot Springs Beauty College,AR,NULL,NULL,15400,NULL,NULL,4000,43
Jefferson Regional Medical Center School of Nursing,AR,NULL,NULL,42000,NULL,NULL,14356,76
John Brown University,AR,33326,6425,46200,0.6982,1144,15909,1770
Lees School of Cosmetology,AR,NULL,NULL,PrivacySuppressed,NULL,NULL,9500,27
Career Academy of Hair Design,AR,NULL,NULL,19300,NULL,NULL,6365,364
Marsha Kay Beauty College,AR,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,15
Academy of Salon and Spa,AR,NULL,NULL,PrivacySuppressed,NULL,NULL,6333,75
Arkansas State University Mid-South,AR,13105,4275,21500,NULL,NULL,PrivacySuppressed,1263
Arkansas Northeastern College,AR,12538,4849,24600,NULL,NULL,3000,1141
Margaret's Hair Academy Inc,AR,NULL,NULL,15800,NULL,NULL,3500,65
New Tyler Barber College Inc,AR,NULL,NULL,14900,NULL,NULL,9500,79
North Arkansas College,AR,9463,5162,25000,NULL,NULL,6000,1885
Northwest Technical Institute,AR,8855,NULL,24400,NULL,NULL,PrivacySuppressed,252
Ouachita Baptist University,AR,31473,6130,38400,0.7011,1090,14000,1513
College of the Ouachitas,AR,12215,4709,26200,NULL,NULL,4080,817
Ozarka College,AR,11364,4628,22800,NULL,NULL,6000,1226
University of the Ozarks,AR,34532,5489,38700,0.6136,1057,12000,568
University of Arkansas Community College-Morrilton,AR,11593,4606,27100,0.5838,930,4321.5,2077
Philander Smith College,AR,24877,4598,23800,NULL,NULL,14750,554
Phillips Community College of the University of Arkansas,AR,16140,4280,21500,NULL,NULL,3500,986
Southeast Arkansas College,AR,9672,3843,25000,NULL,NULL,3500,1415
Professional Cosmetology Education Center,AR,NULL,NULL,PrivacySuppressed,NULL,NULL,8456,50
University of Arkansas-Pulaski Technical College,AR,17064,5198,28000,NULL,NULL,9500,9480
University of Arkansas Community College-Hope,AR,14349,4493,24000,NULL,NULL,2250,1157
University of Arkansas Community College Rich Mountain,AR,10415,5085,21300,NULL,NULL,PrivacySuppressed,553
Paul Mitchell the School-Arkansas,AR,NULL,NULL,PrivacySuppressed,NULL,NULL,9780,96
Searcy Beauty College,AR,NULL,NULL,14200,NULL,NULL,6333,104
Shorter College,AR,7500,4422,NULL,NULL,NULL,5500,330
Williams Baptist University,AR,22330,5359,32100,0.6798,1001,9038,501
South Arkansas Community College,AR,17675,4218,27200,NULL,NULL,6453,1306
Southern Arkansas University Main Campus,AR,17738,6077,34300,0.6081,989,8250,2640
Southern Arkansas University Tech,AR,16258,4472,25800,NULL,NULL,3588,894
Velvatex College of Beauty Culture,AR,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,25
University of Arkansas-Fort Smith,AR,14335,6658,31300,0.5736,1028,6295,6508
Academy of Art University,CA,34512,7062,37700,NULL,NULL,11216,10300
ITT Technical Institute-Rancho Cordova,CA,26209,6627,38800,0.3845,NULL,12224,510
Academy of Chinese Culture and Health Sciences,CA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
The Academy of Radio and TV Broadcasting,CA,NULL,NULL,29500,NULL,NULL,9000,44
Avalon School of Cosmetology-Alameda,CA,NULL,NULL,20300,NULL,NULL,6333,186
College of Alameda,CA,10251,8069,31500,NULL,NULL,5000,5147
Allan Hancock College,CA,10735,7896,29500,NULL,NULL,5297,9692
American Academy of Dramatic Arts-Los Angeles,CA,51197,6567,26000,0.1479,NULL,9500,258
American Baptist Seminary of the West,CA,NULL,4707,NULL,NULL,NULL,PrivacySuppressed,NULL
American Film Institute Conservatory,CA,NULL,6829,NULL,NULL,NULL,PrivacySuppressed,NULL
American Beauty College,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,3500,45
American Career College-Los Angeles,CA,NULL,5222,30600,NULL,NULL,9500,1770
American Conservatory Theater,CA,NULL,8434,PrivacySuppressed,NULL,NULL,PrivacySuppressed,0
American River College,CA,12319,8126,30500,NULL,NULL,5420,27332
Everest College-Hayward,CA,NULL,NULL,22900,NULL,NULL,9500,170
Antelope Valley College,CA,11430,8477,27900,NULL,NULL,6000,12416
Art Center College of Design,CA,56400,6826,50300,0.8167,NULL,29811,1742
Associated Technical College-Los Angeles,CA,NULL,NULL,24200,NULL,NULL,8920,404
Associated Technical College-San Diego,CA,NULL,NULL,17900,NULL,NULL,8150,110
Azusa Pacific University,CA,44021,9231,50500,0.7985,1098,13500,6543
Bakersfield College,CA,8732,8689,29500,NULL,NULL,5137,15854
Barstow Community College,CA,14930,7455,30900,NULL,NULL,PrivacySuppressed,2866
Bellus Academy-Chula Vista,CA,NULL,NULL,20400,NULL,NULL,13464,185
Bethesda University,CA,11741,3077,PrivacySuppressed,0.8321,NULL,5649,259
Biola University,CA,44573,8924,43100,0.7286,1123,18000,4324
Brooks Institute,CA,32699,6236,30800,0.98,NULL,27500,492
Brownson Technical School,CA,NULL,NULL,50400,NULL,NULL,9360,45
Bryan University,AZ,24818,4360,34100,NULL,NULL,11667,879
Butte College,CA,11493,7923,29400,NULL,NULL,6000,11123
Phillips Graduate University,CA,NULL,5739,NULL,NULL,NULL,PrivacySuppressed,NULL
California Institute of Integral Studies,CA,NULL,8395,PrivacySuppressed,NULL,NULL,18750,75
Cabrillo College,CA,12665,7875,32100,NULL,NULL,5500,12724
California Baptist University,CA,39026,8355,40700,0.788,984,12500,5797
California College of the Arts,CA,53837,8347,34500,0.8157,NULL,22500,1463
University of California-Hastings College of Law,CA,NULL,12941,102000,NULL,NULL,9000,NULL
California Institute of Technology,CA,56382,17529,74200,0.1055,1534,11125,977
California Lutheran University,CA,48630,9597,52800,0.4802,1108,16508,2882
California Polytechnic State University-San Luis Obispo,CA,23867,8675,63100,0.3123,1242,15500,18664
Alliant International University-San Diego,CA,28901,8051,58000,0.4922,NULL,2076,254
California State University-Bakersfield,CA,18061,8122,46600,0.6626,901,8334,7226
California State University-Stanislaus,CA,17161,8072,43800,0.7215,917,12058.5,7751
California State University-San Bernardino,CA,17030,8558,44800,0.5831,888,13000,15887
California State Polytechnic University-Pomona,CA,19402,9101,51100,0.5218,1070,13632.5,20857
California State University-Chico,CA,22926,8370,45600,0.7161,1014,13000,15106
California State University-Dominguez Hills,CA,12957,8202,43600,0.5747,845,12250,11894
California State University-Fresno,CA,16377,8027,43300,0.5815,920,11500,19911
California State University-Fullerton,CA,16663,8521,44500,0.4579,1021,11837,33000
California State University-East Bay,CA,20676,8804,50500,0.6872,910,11000,12079
California State University-Long Beach,CA,18085,8671,47100,0.3082,1012,12241,30440
California State University-Los Angeles,CA,14747,8767,43900,0.6752,871,9495,19525
California State University-Northridge,CA,20899,8395,43400,0.4624,918,10823,33581
California State University-Sacramento,CA,19380,8364,47200,0.6968,945,12500,25991
University of California-Berkeley,CA,32715,14652,61800,0.18,1350,13000,25951
University of California-Davis,CA,31803,12065,56300,0.4521,1192,12179.5,26483
University of California-Irvine,CA,28980,12839,55100,0.4239,1122,14515,23517
University of California-Los Angeles,CA,31474,15089,58700,0.2199,1289,13200,28667
University of California-Riverside,CA,29787,11324,47300,0.62,1078,15500,18612
University of California-San Diego,CA,29751,13126,58600,0.375,1276,16500,23792
University of California-San Francisco,CA,NULL,11593,135500,NULL,NULL,6567,NULL
University of California-Santa Barbara,CA,31913,13048,52500,0.4444,1212,13000,19362
University of California-Santa Cruz,CA,33208,12110,43700,0.5991,1087,15000,15695
Sofia University,CA,NULL,6887,NULL,NULL,NULL,PrivacySuppressed,20
California Beauty School,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,7748,114
California Christian College,CA,17109,1185,PrivacySuppressed,0.8333,NULL,9500,30
California College San Diego,CA,27138,4887,47300,NULL,NULL,14750,280
Le Cordon Bleu College of Culinary Arts-San Francisco,CA,23262,5493,35700,NULL,NULL,9150,489
California Hair Design Academy,CA,NULL,NULL,18100,NULL,NULL,6590,219
California Institute of the Arts,CA,56435,6290,36500,0.2992,NULL,27000,987
California State University Maritime Academy,CA,22223,8259,79000,0.748,1080,18897.5,1044
California Western School of Law,CA,NULL,12654,74700,NULL,NULL,PrivacySuppressed,NULL
Canada College,CA,9010,8272,33500,NULL,NULL,4750,5217
College of the Canyons,CA,11251,8920,37900,NULL,NULL,4750,16784
Career Academy of Beauty,CA,NULL,NULL,19900,NULL,NULL,6333,167
Casa Loma College-Van Nuys,CA,NULL,6110,46400,1,NULL,9500,606
CET-San Diego,CA,NULL,NULL,22000,NULL,NULL,5109,267
CET-San Jose,CA,NULL,NULL,22000,NULL,NULL,5109,345
CET-El Centro,CA,NULL,NULL,22000,NULL,NULL,5109,234
CET-Colton,CA,NULL,NULL,22000,NULL,NULL,5109,103
CET-Watsonville,CA,NULL,NULL,22000,NULL,NULL,5109,88
CET-Gilroy,CA,NULL,NULL,22000,NULL,NULL,5109,104
CET-Salinas,CA,NULL,NULL,22000,NULL,NULL,5109,65
Cerritos College,CA,9083,9534,30900,NULL,NULL,3500,20011
Cerro Coso Community College,CA,11064,8162,26500,NULL,NULL,PrivacySuppressed,4029
Chabot College,CA,11269,8342,34200,NULL,NULL,5780,12082
Chaffey College,CA,14156,8641,29100,NULL,NULL,3500,17217
Chapman University,CA,57020,11095,51900,0.4471,1208,18341.5,5940
Charles R Drew University of Medicine and Science,CA,26941,6747,61700,0.8889,735,23750,83
Concordia University-Irvine,CA,41233,7044,44300,0.9119,1020,15000,1916
San Diego Christian College,CA,37696,5271,34900,0.492,986,10816,889
Church Divinity School of the Pacific,CA,NULL,6270,NULL,NULL,NULL,PrivacySuppressed,NULL
Citrus College,CA,8256,8454,28800,NULL,NULL,4750,11494
Citrus Heights Beauty College,CA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,96
City College of San Francisco,CA,9475,7668,34400,NULL,NULL,4750,24662
