INSTNM,STABBR,COSTT4_A,AVGFACSAL,MD_EARN_WNE_P10,ADM_RATE,SAT_AVG,DEBT_MDN,UGDS
Webster University,MO,37363,8068,41100,0.5806,1107,15625,3398
Wentworth Military Academy and College,MO,30945,3092,24300,NULL,NULL,6500,399
Westminster College,MO,33354,5781,41600,0.719,1090,19500,1022
William Jewell College,MO,42688,6077,44200,0.5778,1146,19500,1044
William Woods University,MO,33016,5301,34700,0.7514,1047,14542.5,1001
Academy of Cosmetology,MT,NULL,NULL,PrivacySuppressed,NULL,NULL,8174,42
Blackfeet Community College,MT,15055,3638,14900,NULL,NULL,PrivacySuppressed,448
Butte Academy of Beauty Culture,MT,NULL,NULL,PrivacySuppressed,NULL,NULL,7779,37
Highlands College of Montana Tech,MT,14096,6503,41100,NULL,NULL,9500,628
Crevier's Academy of Cosmetology Arts,MT,NULL,NULL,NULL,NULL,NULL,10713,83
Carroll College,MT,38575,6312,43500,0.53,1112,20066.5,1376
Dawson Community College,MT,12338,4727,31100,NULL,NULL,5500,266
Chief Dull Knife College,MT,9017,4873,17600,NULL,NULL,PrivacySuppressed,178
Montana State University Billings,MT,15753,6190,33800,NULL,NULL,7895,4234
Flathead Valley Community College,MT,12769,5912,26700,NULL,NULL,6471.5,1773
Aaniiih Nakoda College,MT,12189,4093,20000,NULL,NULL,PrivacySuppressed,134
Fort Peck Community College,MT,8958,4521,15800,NULL,NULL,PrivacySuppressed,350
Great Falls College Montana State University,MT,13562,5406,30100,NULL,NULL,6060,1626
University of Providence,MT,31310,4857,32300,0.7272,NULL,12500,1032
Helena College University of Montana,MT,14664,5156,33300,NULL,NULL,9500,1118
Little Big Horn College,MT,13463,3786,14300,NULL,NULL,PrivacySuppressed,309
Miles Community College,MT,10878,3565,35000,NULL,NULL,6500,351
Modern Beauty School Inc,MT,NULL,NULL,PrivacySuppressed,NULL,NULL,12000,45
Montana Technological University,MT,16434,6354,41100,0.8891,1115,9500,1825
Montana State University,MT,18486,8068,40400,0.8449,1115,11000,13055
The University of Montana,MT,17440,7736,34700,0.9423,1090,12000,11630
Montana State University-Northern,MT,17290,5164,35100,1,925,8325.5,1250
Rocky Mountain College,MT,32987,5787,37500,0.6683,1024,14000,961
Salish Kootenai College,MT,13301,4935,26000,NULL,NULL,5416.5,809
The University of Montana-Western,MT,14947,4790,29600,NULL,NULL,10313,1452
La'James International College,NE,NULL,NULL,16800,NULL,NULL,10962.5,33
Bellevue University,NE,20250,5456,52800,NULL,NULL,9166,6134
Clarkson College,NE,22322,5474,48900,0.6056,1110,20464,778
Bryan College of Health Sciences,NE,26429,5510,48500,0.7167,1070,21380,593
Central Community College,NE,10671,5722,29200,NULL,NULL,3500,4321
Chadron State College,NE,15402,6702,37000,NULL,NULL,8000,2131
College of Hair Design-Downtown,NE,NULL,NULL,19400,NULL,NULL,13225,116
Concordia University-Nebraska,NE,33226,6086,36900,0.7152,1091,15580.5,1185
Creighton University,NE,46248,9081,56100,0.7665,1214,20700,3943
Doane University-Arts & Sciences,NE,36370,5902,44200,0.7173,1077,14000,1111
Grace University,NE,27873,5045,31200,0.5846,995,9019,410
Hastings College,NE,35673,6292,41700,0.7364,1083,19213.5,1060
CHI Health School of Radiologic Technology,NE,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,22
Joseph's College Cosmetology,NE,NULL,NULL,16300,NULL,NULL,13617.5,281
University of Nebraska at Kearney,NE,19212,7013,39100,0.8486,1049,10998.5,5247
Purdue University Global-Lincoln,NE,25840,4498,33500,NULL,NULL,9500,471
Nebraska Methodist College of Nursing & Allied Health,NE,23987,5994,47100,0.3333,1070,20000,740
Metropolitan Community College Area,NE,11490,6622,29300,NULL,NULL,3208,7737
Mid-Plains Community College,NE,10126,5918,29200,NULL,NULL,4397,1437
Midland University,NE,36214,5733,38800,0.6832,970,11000,1189
Nebraska Christian College of Hope International University,NE,22658,5121,26000,NULL,NULL,10500,150
University of Nebraska at Omaha,NE,16860,7860,42300,0.7078,1070,10020,12153
Purdue University Global-Omaha,NE,24424,4523,33500,NULL,NULL,9500,728
Nebraska Indian Community College,NE,10728,2859,15400,NULL,NULL,PrivacySuppressed,191
University of Nebraska Medical Center,NE,NULL,8438,67300,NULL,NULL,15000,810
Nebraska Wesleyan University,NE,36429,6285,45300,0.7689,1109,18000,1892
University of Nebraska-Lincoln,NE,21024,10085,43700,0.6404,1147,13076,19376
Northeast Community College,NE,11324,5749,33600,NULL,NULL,5500,2812
Peru State College,NE,15207,6725,35600,NULL,NULL,9567,1534
Summit Christian College,NE,NULL,2989,NULL,0.25,NULL,NULL,29
College of Saint Mary,NE,36592,5984,38800,0.5701,1070,19500,691
Southeast Community College Area,NE,10071,5243,36100,NULL,NULL,4094.5,7512
Union College,NE,30383,5344,40400,0.5229,1050,14500,759
Vatterott College-Spring Valley,NE,21473,3611,25500,NULL,NULL,14000,330
Nebraska College of Technical Agriculture,NE,15731,5545,43700,NULL,NULL,13076,225
Wayne State College,NE,15002,7206,35400,NULL,NULL,9502,2900
Regional West Medical Center School of Radiologic Technology,NE,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,8
Western Nebraska Community College,NE,11346,5789,27900,NULL,NULL,4500,1478
York College,NE,26127,4936,36000,0.489,924,15000,456
Academy of Hair Design-Las Vegas,NV,NULL,NULL,15600,NULL,NULL,9100,154
Career College of Northern Nevada,NV,NULL,3567,25700,NULL,NULL,9348.5,556
College of Southern Nevada,NV,11838,6779,31900,NULL,NULL,5500,29848
The Art Institute of Las Vegas,NV,29598,4747,29600,NULL,NULL,9500,1097
Las Vegas College,NV,26616,4023,25100,NULL,NULL,11015.5,915
Marinello Schools of Beauty-Las Vegas,NV,NULL,NULL,19900,NULL,NULL,6244,369
University of Nevada-Las Vegas,NV,17478,9986,43200,0.8512,1003,10000,22742
University of Nevada-Reno,NV,21398,9233,45000,0.8396,1081,9143.5,15310
Great Basin College,NV,12845,5617,31100,NULL,NULL,5500,2387
Marinello Schools of Beauty-Reno,NV,NULL,NULL,PrivacySuppressed,NULL,NULL,6333,275
Morrison University,NV,30711,4317,33500,NULL,NULL,9396,374
Sierra Nevada College,NV,44600,5976,44900,NULL,NULL,13125,476
Truckee Meadows Community College,NV,12067,6358,32800,NULL,NULL,5500,9051
Western Nevada College,NV,13184,7708,28800,NULL,NULL,7452,3511
Colby-Sawyer College,NH,50644,6825,39900,0.8312,NULL,19625,1395
Continental Academie of Hair Design-Hudson,NH,NULL,NULL,23600,NULL,NULL,9075,62
Daniel Webster College,NH,27321,5077,53500,0.5992,962,12264.5,626
Dartmouth College,NH,61398,13143,70000,0.0978,1446,10563,4154
Empire Beauty School-Laconia,NH,NULL,NULL,18800,NULL,NULL,9500,103
Empire Beauty School-Somersworth,NH,NULL,NULL,19300,NULL,NULL,8311.5,140
Franklin Pierce University,NH,44410,5299,37500,0.8472,975,11600,1664
University of New Hampshire-School of Law,NH,NULL,8747,87100,NULL,NULL,PrivacySuppressed,NULL
Mount Washington College,NH,20578,4685,30600,NULL,NULL,7134,2273
Keene Beauty Academy,NH,NULL,NULL,20300,NULL,NULL,9833,54
Lebanon College,NH,24678,NULL,PrivacySuppressed,NULL,NULL,8000,68
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,NH,NULL,NULL,21600,NULL,NULL,8388,164
New England College,NH,44247,6008,34100,0.8997,NULL,7806,1465
New England School of Hair Design,NH,NULL,NULL,21100,NULL,NULL,7845.5,57
Southern New Hampshire University,NH,39677,6991,41700,0.7866,965,5121,17172
New Hampshire Institute for Therapeutic Arts,NH,NULL,NULL,PrivacySuppressed,NULL,NULL,8181,32
University of New Hampshire-Main Campus,NH,29520,11061,47700,0.7784,1100,21750,12288
Keene State College,NH,24614,8750,41200,0.8185,975,19500,4643
University of New Hampshire at Manchester,NH,21507,9550,47700,0.7306,1020,21750,781
Plymouth State University,NH,24828,8065,38600,0.7748,965,18750,3986
NHTI-Concord's Community College,NH,19062,6367,38200,NULL,NULL,7322,3826
White Mountains Community College,NH,19858,5715,32800,NULL,NULL,9500,627
River Valley Community College,NH,23322,5702,PrivacySuppressed,NULL,NULL,8250,898
Lakes Region Community College,NH,18684,5939,PrivacySuppressed,NULL,NULL,7461,1032
Manchester Community College,NH,16905,5921,36000,NULL,NULL,7000,2450
Nashua Community College,NH,16741,5856,35200,NULL,NULL,5500,2026
Great Bay Community College,NH,18859,5883,PrivacySuppressed,NULL,NULL,5500,1890
Paul Mitchell the School-Portsmouth,NH,NULL,NULL,PrivacySuppressed,NULL,NULL,9666.5,26
Rivier University,NH,39525,6599,43100,0.8928,932,17750,1524
Saint Anselm College,NH,48016,8086,55500,0.7365,1145,26982,1912
St Joseph School of Nursing,NH,21198,7460,40400,0.2,NULL,14825,131
Granite State College,NH,17576,5361,33800,NULL,NULL,5619,1680
Thomas More College of Liberal Arts,NH,31300,4307,PrivacySuppressed,NULL,NULL,25000,80
Eastwick College-Hackensack,NJ,26062,4351,25700,0.8227,NULL,7655,323
Assumption College for Sisters,NJ,NULL,NULL,NULL,NULL,NULL,NULL,24
Atlantic Cape Community College,NJ,20918,6356,26100,NULL,NULL,4937.5,6762
Fortis Institute-Wayne,NJ,NULL,NULL,28800,NULL,NULL,9500,567
Bergen Community College,NJ,11917,7030,36500,NULL,NULL,5000,14688
Berkeley College-Woodland Park,NJ,34369,6110,38100,NULL,NULL,8333.5,3667
Beth Medrash Govoha,NJ,NULL,7781,24800,NULL,NULL,5500,2766
Bloomfield College,NJ,38858,7807,35900,0.5464,835,13750,1906
Brookdale Community College,NJ,11196,7558,33500,NULL,NULL,5500,12492
Rowan College at Burlington County,NJ,11534,6053,34900,NULL,NULL,4500,8790
Caldwell University,NJ,38223,7944,41700,0.6408,949,14728.5,1570
Camden County College,NJ,10511,7073,31600,NULL,NULL,4500,12096
Centenary University,NJ,44586,6656,43800,0.9094,956,15750,1708
Adult and Continuing Education-BCTS,NJ,NULL,NULL,PrivacySuppressed,NULL,NULL,3500,105
Branford Hall Career Institute-Parsippany,NJ,27704,NULL,41500,NULL,NULL,8528,148
Lincoln Technical Institute-Iselin,NJ,NULL,NULL,27700,NULL,NULL,7528,607
American Institute-Clifton,NJ,NULL,NULL,24100,NULL,NULL,9500,611
Empire Beauty School-Ocean,NJ,NULL,NULL,17000,NULL,NULL,5500,129
Cooper Health System Center for Allied Health Education,NJ,NULL,NULL,PrivacySuppressed,NULL,NULL,8385,41
County College of Morris,NJ,10866,7609,38000,NULL,NULL,5250,7583
Cumberland County College,NJ,13884,6752,31500,NULL,NULL,5500,3814
Divers Academy International,NJ,NULL,NULL,47800,NULL,NULL,7307,236
Drake College of Business-Elizabeth,NJ,NULL,NULL,23200,NULL,NULL,9500,1133
Drew University,NJ,56932,8538,50800,0.7743,1109,23250,1453
duCret School of Arts,NJ,13011,NULL,PrivacySuppressed,1,NULL,PrivacySuppressed,32
Lincoln Technical Institute-South Plainfield,NJ,NULL,NULL,33800,NULL,NULL,10500,255
Essex County College,NJ,8554,7243,29200,NULL,NULL,PrivacySuppressed,11150
Empire Beauty School-Union,NJ,NULL,NULL,17000,NULL,NULL,5500,126
Fairleigh Dickinson University-Metropolitan Campus,NJ,43227,8296,48400,0.7341,985,14250,3915
Felician University,NJ,41750,6612,41900,0.8819,877,19000,1618
Fairleigh Dickinson University-Florham Campus,NJ,51159,8250,48400,0.7774,1020,14250,2242
Hohokus School of Trade and Technical Sciences,NJ,NULL,NULL,PrivacySuppressed,NULL,NULL,7637,255
Georgian Court University,NJ,38533,8029,42800,0.779,900,17600,1398
Rowan University,NJ,26970,9370,49400,0.5923,1120,15750,10656
Rowan College at Gloucester County,NJ,11530,7406,33400,NULL,NULL,5500,6362
Empire Beauty School-Cherry Hill,NJ,NULL,NULL,15700,NULL,NULL,6107,91
Harris School of Business-Cherry Hill Campus,NJ,NULL,NULL,23400,NULL,NULL,7756,346
Eastwick College-Ramsey,NJ,33787,4414,37900,0.3675,NULL,12842,987
Holy Name Medical Center-Sister Claire Tynan School of Nursing,NJ,35434,NULL,64500,0.3287,NULL,15008.5,166
Hudson County Community College,NJ,11853,3663,28100,NULL,NULL,4500,8753
New Jersey City University,NJ,19058,9876,42100,0.4129,917,10500,6373
Joe Kubert School of Cartoon and Graphic Art,NJ,31388,NULL,PrivacySuppressed,0.784,NULL,18687,98
Kean University,NJ,19462,9226,46000,0.8037,905,15178,11975
Harris School of Business-Voorhees Campus,NJ,NULL,NULL,20900,NULL,NULL,7079,422
Lincoln Technical Institute-Union,NJ,NULL,NULL,33800,NULL,NULL,10500,1171
Rizzieri Aveda School for Beauty and Wellness,NJ,NULL,NULL,19500,NULL,NULL,5500,303
Mercer County Community College,NJ,8484,7674,33700,NULL,NULL,4500,7885
Middlesex County College,NJ,10545,9234,35700,NULL,NULL,5250,11433
Monmouth University,NJ,42307,8286,50300,0.7791,1063,21400,4557
Montclair State University,NJ,22773,9661,48900,0.6532,970,16750,15182
HackensackUMC Mountainside School of Nursing,NJ,NULL,NULL,72500,NULL,NULL,20000,116
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Imaging,NJ,35470,NULL,66700,1,910,19433.5,100
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Nursing,NJ,25206,NULL,66700,0.7778,950,19433.5,361
Eastwick College-Nutley,NJ,NULL,NULL,30700,NULL,NULL,8256,579
Empire Beauty School-Jersey City,NJ,NULL,NULL,15700,NULL,NULL,6107,71
New Brunswick Theological Seminary,NJ,NULL,5432,NULL,NULL,NULL,PrivacySuppressed,NULL
Robert Fiance Beauty Schools-West New York,NJ,NULL,NULL,14100,NULL,NULL,7834,259
New Jersey Institute of Technology,NJ,26700,11262,65900,0.6547,1142,13000,6449
Ocean County College,NJ,13635,7032,33200,NULL,NULL,5201,8174
Omega Institute,NJ,NULL,NULL,24400,0.4795,NULL,7381,142
P B Cosmetology Education Center,NJ,NULL,NULL,19000,NULL,NULL,7667,180
Parisian Beauty School,NJ,NULL,NULL,24000,NULL,NULL,7667,337
Passaic County Community College,NJ,11420,7072,26200,NULL,NULL,3500,8379
Pennco Tech-Blackwood,NJ,NULL,NULL,33700,NULL,NULL,9487,618
Princeton Theological Seminary,NJ,NULL,11643,64300,NULL,NULL,6000,NULL
Princeton University,NJ,55430,15711,80500,0.0741,1495,7500,5234
Rabbinical College of America,NJ,22000,2892,30500,1,NULL,PrivacySuppressed,239
Ramapo College of New Jersey,NJ,27781,9521,48000,0.5526,1096,18750,5397
Robert Fiance Beauty Schools-Perth Amboy,NJ,NULL,NULL,17300,NULL,NULL,7722,193
Rider University,NJ,48163,10318,50200,0.7187,1038,20625,4192
Roman Academy of Beauty Culture,NJ,NULL,NULL,25900,NULL,NULL,7654.5,61
Rutgers University-Camden,NJ,22048,10679,56400,0.5859,1035,17295,4777
Rutgers University-New Brunswick,NJ,28011,10967,56400,0.5951,1210,17295,33427
Rutgers University-Newark,NJ,22046,12617,56400,0.5401,1059,17295,6748
St Francis Medical Center-School of Radiologic Technology,NJ,NULL,NULL,NULL,NULL,NULL,NULL,15
Saint Francis Medical Center School of Nursing,NJ,NULL,NULL,NULL,0.5,NULL,NULL,56
Saint Peter's University,NJ,40921,8274,44500,0.5408,913,14750,2369
Salem Community College,NJ,10053,5955,27100,NULL,NULL,5500,1133
Seton Hall University,NJ,46869,9282,56400,0.7916,1121,18500,5632
Atlantic Beauty & Spa Academy LLC,NJ,NULL,NULL,PrivacySuppressed,NULL,NULL,9110,150
College of Saint Elizabeth,NJ,43899,7174,42800,0.4836,855,13506,947
Raritan Valley Community College,NJ,8611,7520,35800,NULL,NULL,4000,7246
Stevens Institute of Technology,NJ,59479,9474,87300,0.3816,1305,25250,2662
Stockton University,NJ,26086,9242,46800,0.6211,1068,16989,7491
Talmudical Academy-New Jersey,NJ,17520,2137,PrivacySuppressed,1,NULL,PrivacySuppressed,68
Teterboro School of Aeronautics,NJ,NULL,NULL,53400,NULL,NULL,12000,157
Thomas Edison State University,NJ,NULL,NULL,50000,NULL,NULL,5442,19596
The College of New Jersey,NJ,28943,9518,56200,0.4311,1235,20500,6446
Sanford-Brown Institute-Iselin,NJ,NULL,NULL,27900,NULL,NULL,9500,735
Union County College,NJ,9211,9218,31500,NULL,NULL,4500,11437
William Paterson University of New Jersey,NJ,21990,10225,44300,0.6811,1010,15500,9930
Olympian Academy of Cosmetology,NM,NULL,NULL,16100,NULL,NULL,7638,1017
Central New Mexico Community College,NM,8946,4942,29600,NULL,NULL,4500,25090
Navajo Technical University,NM,9178,4379,17000,NULL,NULL,PrivacySuppressed,1654
De Wolff College Hair Styling and Cosmetology,NM,NULL,NULL,18000,NULL,NULL,5500,86
New Mexico State University-Dona Ana,NM,11190,5619,33400,NULL,NULL,7505,6677
Clovis Community College,NM,11844,4669,25200,NULL,NULL,4000,2021
Eastern New Mexico University-Main Campus,NM,15021,6443,29300,0.6321,932,6500,3767
Eastern New Mexico University-Roswell Campus,NM,12146,2598,29300,NULL,NULL,6500,2134
Institute of American Indian and Alaska Native Culture and Arts Development,NM,15287,5351,PrivacySuppressed,1,NULL,3350,225
New Mexico Highlands University,NM,15611,6118,35600,NULL,NULL,6500,2221
New Mexico Junior College,NM,11954,5788,29200,NULL,NULL,4500,1500
New Mexico Military Institute,NM,14200,6852,36600,0.4186,967,5500,470
University of New Mexico-Gallup Campus,NM,12542,6296,34900,NULL,NULL,10289,2233
New Mexico Institute of Mining and Technology,NM,17600,6908,52900,0.4136,1200,8068,1490
University of New Mexico-Los Alamos Campus,NM,11743,5013,34900,NULL,NULL,10289,541
University of New Mexico-Main Campus,NM,16822,8938,34900,0.6458,1038,10289,20847
New Mexico State University-Alamogordo,NM,9582,6029,33400,NULL,NULL,7505,1379
New Mexico State University-Carlsbad,NM,9653,5743,33400,NULL,NULL,7505,806
New Mexico State University-Grants,NM,9923,5362,33400,NULL,NULL,7505,512
New Mexico State University-Main Campus,NM,17290,7954,33400,0.852,982,7505,12886
University of New Mexico-Valencia County Campus,NM,11069,5084,34900,NULL,NULL,10289,1775
Northern New Mexico College,NM,10358,5159,28500,NULL,NULL,4500,1173
San Juan College,NM,11305,5633,30600,NULL,NULL,4500,6090
Santa Fe Community College,NM,15349,5980,30700,NULL,NULL,6957.5,4173
Santa Fe University of Art and Design,NM,41417,6682,36900,0.9975,998,9500,659
University of the Southwest,NM,24154,4273,38900,NULL,NULL,7500,318
Southwestern College,NM,NULL,5670,NULL,NULL,NULL,PrivacySuppressed,NULL
Southwestern Indian Polytechnic Institute,NM,12228,5608,21400,NULL,NULL,PrivacySuppressed,519
University of New Mexico-Taos Campus,NM,13022,5732,34900,NULL,NULL,10289,941
Mesalands Community College,NM,14010,4308,23700,NULL,NULL,PrivacySuppressed,598
Vogue College of Cosmetology-Santa Fe,NM,NULL,NULL,NULL,NULL,NULL,6376.5,76
Western New Mexico University,NM,15121,5920,30600,NULL,NULL,7500,2166
Vaughn College of Aeronautics and Technology,NY,30790,9139,48400,0.7706,989,11500,1721
Adelphi University,NY,41559,11315,55200,0.6814,1098,19187.5,5000
Adirondack Community College,NY,10166,6390,30700,NULL,NULL,5500,3614
Globe Institute of Technology,NY,25718,3583,22000,NULL,NULL,5500,551
Bryant & Stratton College-Albany,NY,21093,3981,22900,NULL,NULL,8283,568
Albany College of Pharmacy and Health Sciences,NY,40718,8530,122600,0.634,1195,22250,1075
Albany Law School,NY,NULL,9611,83500,NULL,NULL,PrivacySuppressed,NULL
Albany Medical College,NY,NULL,NULL,220300,NULL,NULL,PrivacySuppressed,NULL
Alfred University,NY,38830,6408,39100,0.698,1106,20500,1905
Allen School-Brooklyn,NY,NULL,NULL,29300,NULL,NULL,9330,742
The Ailey School,NY,33155,NULL,28300,0.1784,NULL,5500,91
American Academy of Dramatic Arts-New York,NY,49143,6242,26000,0.8118,NULL,9500,216
American Academy McAllister Institute of Funeral Service,NY,17167,NULL,41100,NULL,NULL,5400,408
Joffrey Ballet School,NY,29577,NULL,NULL,1,NULL,6306,230
American Musical and Dramatic Academy,NY,44526,7984,26900,0.2603,NULL,12000,1365
Apex Technical School,NY,NULL,NULL,32000,NULL,NULL,9500,1292
Arnot Ogden Medical Center,NY,NULL,NULL,PrivacySuppressed,0.5625,NULL,13944.5,79
Associated Beth Rivkah Schools,NY,18138,NULL,12700,0.9583,NULL,PrivacySuppressed,106
Austin's School of Spa Technology,NY,NULL,NULL,17000,NULL,NULL,4750,270
Bank Street College of Education,NY,NULL,9188,PrivacySuppressed,NULL,NULL,PrivacySuppressed,NULL
Bard College,NY,60280,10804,35900,0.3761,NULL,19500,2201
Barnard College,NY,59581,11888,56400,0.2053,1340,15500,2474
Berk Trade and Business School,NY,NULL,NULL,32800,NULL,NULL,6333,265
Berkeley College-New York,NY,36229,7124,38800,NULL,NULL,9500,4551
Beth Hatalmud Rabbinical College,NY,15275,2854,PrivacySuppressed,1,NULL,PrivacySuppressed,47
Beth Hamedrash Shaarei Yosher Institute,NY,12900,2383,PrivacySuppressed,1,NULL,PrivacySuppressed,49
Phillips School of Nursing at Mount Sinai Beth Israel,NY,NULL,7855,81200,0.3043,NULL,14000,269
Brittany Beauty Academy,NY,NULL,NULL,15800,NULL,NULL,7339,200
Boricua College,NY,26225,4250,32700,NULL,NULL,4500,1050
Bramson ORT College,NY,18696,3572,26900,NULL,NULL,5500,675
Briarcliffe College,NY,22104,5611,36900,NULL,NULL,12321,1885
Brittany Beauty Academy,NY,NULL,NULL,16400,NULL,NULL,7916,144
American Beauty School,NY,NULL,NULL,PrivacySuppressed,NULL,NULL,2592.5,194
Brooklyn Law School,NY,NULL,13152,109300,NULL,NULL,PrivacySuppressed,NULL
SUNY Broome Community College,NY,10787,5794,30900,NULL,NULL,5500,5425
Bryant & Stratton College-Amherst,NY,20973,4086,22900,NULL,NULL,8283,400
Bryant & Stratton College-Syracuse North,NY,20548,4261,22900,NULL,NULL,8283,444
Bryant & Stratton College-Syracuse,NY,22390,3912,22900,NULL,NULL,8283,520
Bryant & Stratton College-Buffalo,NY,21458,4399,22900,NULL,NULL,8283,716
Bryant & Stratton College-Greece,NY,21309,3610,22900,NULL,NULL,8283,381
Business Informatics Center Inc,NY,32556,2100,23900,NULL,NULL,9950,56
Canisius College,NY,42796,7530,46100,0.7251,1101,18200,2858
Capri Cosmetology Learning Centers,NY,NULL,NULL,20800,NULL,NULL,5500,238
St Paul's School of Nursing-Queens,NY,34237,5903,73000,NULL,NULL,19467,592
Cayuga County Community College,NY,11746,7603,28700,NULL,NULL,5500,2982
Cazenovia College,NY,41576,6671,33700,0.7795,NULL,15000,1031
Central Yeshiva Tomchei Tmimim Lubavitz,NY,23043,2365,21800,1,NULL,PrivacySuppressed,650
Cheryl Fells School of Business,NY,NULL,NULL,PrivacySuppressed,NULL,NULL,12500,56
Christ the King Seminary,NY,NULL,3583,NULL,NULL,NULL,PrivacySuppressed,NULL
Circle in the Square Theatre School,NY,38575,NULL,PrivacySuppressed,0.931,NULL,12000,78
Clarkson University,NY,54772,10138,68900,0.6403,1187,22500,3060
Clinton Community College,NY,12126,5645,30700,NULL,NULL,5500,1315
Cochran School of Nursing,NY,NULL,7937,83400,NULL,NULL,19890.5,79
Colgate Rochester Crozer Divinity School,NY,NULL,5499,NULL,NULL,NULL,PrivacySuppressed,NULL
Colgate University,NY,57745,10985,61300,0.2638,1370,14000,2872
Metropolitan College of New York,NY,28391,6060,37800,0.5487,NULL,13193,911
Columbia University in the City of New York,NY,61540,15706,78200,0.0742,1471,13806.5,7970
Columbia-Greene Community College,NY,10391,5695,35200,NULL,NULL,5500,1549
Empire Beauty School-Queens,NY,NULL,NULL,15700,NULL,NULL,6107,215
Concordia College-New York,NY,36593,5362,45200,0.6701,912,18000,856
Continental School of Beauty Culture-Buffalo,NY,NULL,NULL,17000,NULL,NULL,7385,124
Continental School of Beauty Culture-Batavia,NY,NULL,NULL,17800,NULL,NULL,7958.5,36
Continental School of Beauty Culture-Rochester,NY,NULL,NULL,18300,NULL,NULL,6333,332
Cooper Union for the Advancement of Science and Art,NY,56735,11865,54000,0.0774,1358,16375,851
Cornell University,NY,59572,13820,73600,0.1556,1422,11000,14309
Weill Cornell Medical College,NY,NULL,NULL,73600,NULL,NULL,11000,NULL
Corning Community College,NY,11647,5748,30600,NULL,NULL,5500,3229
Pomeroy College of Nursing at Crouse Hospital,NY,15993,7645,55100,0.4795,NULL,15250,336
Culinary Institute of America,NY,40694,8404,42400,0.8967,NULL,12000,2814
CUNY Bernard M Baruch College,NY,15112,11535,55300,0.2483,1225,7658,13698
CUNY Borough of Manhattan Community College,NY,13310,8502,34700,NULL,NULL,4500,23658
CUNY Bronx Community College,NY,14170,8468,32500,NULL,NULL,5000,10577
CUNY Brooklyn College,NY,13903,10039,43500,0.3198,1100,6500,12625
College of Staten Island CUNY,NY,14298,9597,40200,0.9975,1000,6400,12974
CUNY City College,NY,14041,11009,45800,0.341,1110,7500,11820
CUNY Graduate School and University Center,NY,NULL,13388,PrivacySuppressed,NULL,NULL,5500,1112
CUNY Hostos Community College,NY,13674,8582,30400,NULL,NULL,4250,6438
CUNY Hunter College,NY,14478,10527,45100,0.2972,1160,7000,15697
CUNY John Jay College of Criminal Justice,NY,13308,9785,43300,0.3405,950,6200,12838
CUNY Kingsborough Community College,NY,12563,8288,34800,NULL,NULL,4500,14381
CUNY LaGuardia Community College,NY,13625,8893,33200,NULL,NULL,3500,16821
CUNY Lehman College,NY,12957,9695,41200,0.2328,1020,5500,9020
CUNY Medgar Evers College,NY,15240,9621,34800,0.9141,838,4000,6099
CUNY New York City College of Technology,NY,13584,8933,38900,0.768,937,5500,15917
CUNY Queens College,NY,13676,10166,47400,0.3702,1100,6990,14424
CUNY Queensborough Community College,NY,10784,8681,36200,NULL,NULL,4343.5,14354
CUNY School of Law,NY,NULL,13713,75500,NULL,NULL,PrivacySuppressed,NULL
CUNY York College,NY,13967,9335,39200,0.351,905,5500,7361
CVPH Medical Center School of Radiologic Technology,NY,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,23
D'Youville College,NY,32741,6071,48300,0.7908,1047,18665,1855
Daemen College,NY,32649,5947,39600,0.4864,NULL,12500,1971
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,NY,NULL,5345,NULL,1,NULL,PrivacySuppressed,57
Dominican College of Blauvelt,NY,35825,7601,45900,0.7189,899,15000,1505
Dowling College,NY,39399,8003,42300,0.7828,NULL,15850,1708
Dutchess Community College,NY,10654,7362,33100,NULL,NULL,5250,7228
Belanger School of Nursing,NY,13631,7009,50800,0.2857,NULL,13005,123
Elmira Business Institute,NY,27982,2467,20600,NULL,NULL,9500,431
Elmira College,NY,50608,4676,42600,0.7978,1060,20000,1317
Erie Community College,NY,10056,6348,31700,NULL,NULL,4475,11376
Fashion Institute of Technology,NY,16428,10019,46800,0.4484,NULL,14000,8058
Finger Lakes Community College,NY,14529,5806,29800,NULL,NULL,5787,4412
Five Towns College,NY,31557,4824,33400,0.5509,894,15440.5,740
Fordham University,NY,56604,12679,57400,0.4713,1258,20250,8193
The International Culinary Center,NY,NULL,NULL,36500,NULL,NULL,6333,475
Fulton-Montgomery Community College,NY,12343,5626,31500,NULL,NULL,6750,2220
Gemological Institute of America-New York,NY,NULL,NULL,40300,NULL,NULL,8233,193
The General Theological Seminary,NY,NULL,4546,NULL,NULL,NULL,PrivacySuppressed,NULL
Genesee Community College,NY,11590,6109,29000,NULL,NULL,5500,4190
Hamilton College,NY,57420,11159,59400,0.2719,1384,15000,1909
Hartwick College,NY,48699,8002,42800,0.8424,1126,18750,1607
Helene Fuld College of Nursing,NY,NULL,7777,85600,1,NULL,13250,393
Herkimer County Community College,NY,13277,4993,30200,NULL,NULL,6139.5,2436
