INSTNM,DEBT_MDN,COSTT4_A,ADM_RATE,SAT_AVG,UGDS,AVGFACSAL,MD_EARN_WNE_P10
Aveda Institute-Twin Falls,8000,NULL,NULL,NULL,57,NULL,PrivacySuppressed
Mr Leon's School of Hair Design-Moscow,12750,NULL,NULL,NULL,25,NULL,PrivacySuppressed
North Idaho College,6500,12063,NULL,NULL,5095,5981,30400
Northwest Nazarene University,14000,34498,0.617,1079,1251,5691,36200
Elevate Salon Institute-Chubbuck,9500,NULL,NULL,NULL,36,NULL,9100
Brigham Young University-Idaho,5500,10438,0.9963,1036,20208,8206,39900
College of Southern Idaho,5500,10390,NULL,NULL,5023,5527,28100
Adler University,PrivacySuppressed,NULL,NULL,NULL,NULL,7161,NULL
Alvareitas College of Cosmetology-Edwardsville,6910,NULL,NULL,NULL,45,NULL,19100
Alvareitas College of Cosmetology-Godfrey,8062.5,NULL,NULL,NULL,40,NULL,PrivacySuppressed
American Academy of Art,21500,32415,0.93,NULL,406,4136,27700
School of the Art Institute of Chicago,16991.5,55551,0.7184,1065,2641,9208,32100
Augustana College,24500,45364,0.5867,NULL,2504,7186,48500
Aurora University,13750,31145,0.7595,1011,3236,7064,40000
Tricoci University of Beauty Culture-Urbana,7500,NULL,NULL,NULL,33,NULL,17300
Southwestern Illinois College,3500,11804,NULL,NULL,9862,7256,26600
Bethany Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,5416,NULL
Black Hawk College,3500,10031,NULL,NULL,4736,6730,28600
Blackburn College,12464,24126,0.6799,1034,539,5861,37600
Blessing Rieman College of Nursing and Health Sciences,14700,NULL,NULL,NULL,243,4969,44400
Blessing Hospital School of Radiologic Technology,14700,NULL,NULL,NULL,20,NULL,44400
Bradley University,23000,40330,0.6694,1163,4823,8424,51200
Paul Mitchell the School-Bradley,9500,NULL,NULL,NULL,395,NULL,20400
Cameo Beauty Academy,9766.5,NULL,NULL,NULL,105,NULL,17000
Cannella School of Hair Design-Villa Park,PrivacySuppressed,NULL,NULL,NULL,83,NULL,PrivacySuppressed
Cannella School of Hair Design-Chicago,3500,NULL,NULL,NULL,84,NULL,15000
Cannella School of Hair Design-Chicago,PrivacySuppressed,NULL,NULL,NULL,125,NULL,18300
Cannella School of Hair Design-Elgin,3500,NULL,NULL,NULL,79,NULL,23200
Capri Beauty College,9833,NULL,NULL,NULL,32,NULL,15900
Empire Beauty School-Hanover Park,5500,NULL,NULL,NULL,81,NULL,17000
Capri Beauty College,9833,NULL,NULL,NULL,86,NULL,19300
Carl Sandburg College,3377,8961,NULL,NULL,1724,6028,26400
Catholic Theological Union at Chicago,PrivacySuppressed,NULL,NULL,NULL,NULL,7394,NULL
La James International College-East Moline,13760,NULL,NULL,NULL,23,NULL,PrivacySuppressed
Midwestern University-Downers Grove,PrivacySuppressed,NULL,NULL,NULL,NULL,9272,106400
The Chicago School of Professional Psychology at Chicago,PrivacySuppressed,NULL,NULL,NULL,NULL,6680,NULL
Chicago State University,14250,18472,0.2865,892,4321,7512,34300
Chicago Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,7725,NULL
University of Chicago,11100,62425,0.0881,1504,5697,16589,65500
City Colleges of Chicago-Kennedy-King College,3500,13006,NULL,NULL,4509,7360,22300
City Colleges of Chicago-Malcolm X College,3114,11493,NULL,NULL,5222,7947,23600
City Colleges of Chicago-Olive-Harvey College,3500,12270,NULL,NULL,3671,8087,23700
City Colleges of Chicago-Harry S Truman College,3750,10206,NULL,NULL,6221,8585,28000
City Colleges of Chicago-Richard J Daley College,3500,9687,NULL,NULL,4791,8501,28200
City Colleges of Chicago-Harold Washington College,3500,9503,NULL,NULL,8752,8115,25000
City Colleges of Chicago-Wilbur Wright College,3000,8832,NULL,NULL,9444,8273,32000
Columbia College Chicago,18750,37546,0.9053,NULL,9577,7978,33400
Concordia University-Chicago,12500,34774,0.5441,1030,1563,4134,39000
Le Cordon Bleu College of Culinary Arts-Chicago,11042,20436,NULL,NULL,958,4426,33700
Coyne College,9500,NULL,NULL,NULL,590,4358,36900
Danville Area Community College,3500,10840,NULL,NULL,2339,5599,26800
Tricoci University of Beauty Culture-Danville,7500,NULL,NULL,NULL,58,NULL,17300
DePaul University,17500,46375,0.5987,1163,16120,10392,51000
Cosmetology & Spa Academy,7917,NULL,NULL,NULL,147,NULL,PrivacySuppressed
College of DuPage,4750,12788,NULL,NULL,21214,10742,34500
East-West University,5250,30965,NULL,NULL,679,6159,24100
Eastern Illinois University,17000,23346,0.6191,1010,8255,7773,40100
Elgin Community College,3500,8025,NULL,NULL,8599,10008,32100
Elmhurst College,16750,41472,0.718,1084,2819,7596,47300
Eureka College,17750,28799,0.6781,1053,667,5887,34000
First Institute of Travel Inc.,8100,NULL,NULL,NULL,53,NULL,29700
Fox College,12000,25011,0.6687,NULL,375,5379,32900
Garrett-Evangelical Theological Seminary,2500,NULL,NULL,NULL,NULL,9418,PrivacySuppressed
Gem City College,4750,NULL,NULL,NULL,44,NULL,21200
Governors State University,11000,NULL,NULL,NULL,3179,7006,39500
Graham Hospital School of Nursing,16802,24018,0,NULL,82,NULL,PrivacySuppressed
Greenville University,14500,33675,0.657,1033,1101,5649,36300
Hair Professionals Academy of Cosmetology,6333,NULL,NULL,NULL,218,NULL,23900
Hair Professionals Career College,8708.5,NULL,NULL,NULL,81,NULL,17800
Hair Professionals School of Cosmetology,9833,NULL,NULL,NULL,92,NULL,21700
Harrington College of Design,25959,29650,NULL,NULL,381,6172,37700
Hebrew Theological College,5500,33966,0.9299,1019,458,5525,21400
Highland Community College,4251,10024,NULL,NULL,1698,8096,26500
Rosalind Franklin University of Medicine and Science,4500,NULL,NULL,NULL,NULL,8811,127300
University of Illinois at Chicago,13500,25248,0.714,1092,16601,9797,52200
Benedictine University,14500,35481,0.695,1030,3739,7686,48900
Illinois College of Optometry,15300,NULL,NULL,NULL,NULL,8420,84400
University of Illinois at Urbana-Champaign,18450,28564,0.6239,1303,31663,11576,57600
Illinois Wesleyan University,24786,48522,0.5838,1241,2000,7853,55600
Illinois Central College,3400,10289,NULL,NULL,7882,6795,29400
Illinois College,19465,36829,0.6129,1024,981,6895,39900
Olney Central College,3500,5827,NULL,NULL,899,6308,28700
Illinois Institute of Technology,19500,48940,0.5697,1252,2855,11256,69800
Argosy University-Chicago,6334,23972,NULL,NULL,293,6745,37800
Illinois State University,17500,25416,0.6892,1110,17667,7665,45500
Illinois Valley Community College,4725,11075,NULL,NULL,2981,7342,29400
Institute for Clinical Social Work,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL
Sanford-Brown College-Chicago,27000,19484,NULL,NULL,345,5240,26100
John A Logan College,2788,7550,NULL,NULL,3857,6715,25500
The John Marshall Law School,PrivacySuppressed,NULL,NULL,NULL,NULL,14818,NULL
John Wood Community College,4331,11970,NULL,NULL,1638,6046,29100
Joliet Junior College,4000,7979,NULL,NULL,13014,9206,29400
Judson University,15000,37635,0.7069,1045,1020,6071,41400
Kankakee Community College,3929,10428,NULL,NULL,3115,6680,28500
Kaskaskia College,4250,10332,NULL,NULL,3091,7953,26700
Kendall College,10500,41411,0.8773,NULL,1579,5490,37900
Kishwaukee College,4744,12107,NULL,NULL,3627,6373,32600
Knox College,24500,46291,0.7496,NULL,1402,5295,38200
Educators of Beauty College of Cosmetology-Peru,9500,NULL,NULL,NULL,33,NULL,17100
College of Lake County,3500,8490,NULL,NULL,11978,9558,32700
Lake Forest College,24000,49743,0.5727,1157,1577,8231,49000
Lake Forest Graduate School of Management,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL
Lake Land College,3000,9506,NULL,NULL,4118,5887,27900
Lakeview College of Nursing,15750,NULL,NULL,NULL,284,5357,53600
Lewis and Clark Community College,3500,8571,NULL,NULL,4678,7141,26100
Lewis University,17650,34079,0.5587,1088,4489,9021,47300
Lexington College,12000,37604,0.8919,845,55,4306,PrivacySuppressed
Lincoln Christian University,14000,25309,0.6875,996,613,5114,29900
Lincoln College,8500,28702,0.8747,850,1163,4978,29700
Lincoln Land Community College,4563,9677,NULL,NULL,5751,8609,29700
Lincoln College of Technology-Melrose Park,9875,NULL,NULL,NULL,617,4741,42800
Loyola University Chicago,21500,47727,0.8504,1195,9931,9432,52000
Lutheran School of Theology at Chicago,PrivacySuppressed,NULL,NULL,NULL,NULL,5450,NULL
Trinity College of Nursing & Health Sciences,13000,NULL,0,NULL,191,6239,45100
CET-Chicago,5109,NULL,NULL,NULL,209,NULL,22000
Steven Papageorge Hair Academy,9500,NULL,NULL,NULL,62,NULL,17900
MacCormac College,10562.5,23685,NULL,NULL,209,3918,29500
MacMurray College,16000,30843,0.7488,964,542,5360,36300
McCormick Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,6654,NULL
McHenry County College,3500,10565,NULL,NULL,4892,9998,30600
McKendree University,15000,37004,0.6289,1046,2312,6641,45800
Meadville Lombard Theological School,PrivacySuppressed,NULL,NULL,NULL,NULL,7400,NULL
Methodist College,20500,33354,0.8636,1030,508,4582,PrivacySuppressed
Midstate College,12947,26994,0.84,NULL,532,4059,25400
Millikin University,20500,39576,0.5512,1087,2122,5844,42200
Monmouth College,21546,40578,0.6431,1049,1247,6770,39900
Moody Bible Institute,PrivacySuppressed,25537,0.6855,NULL,3019,5639,NULL
Moraine Valley Community College,4627,9651,NULL,NULL,10987,6264,32300
Morrison Institute of Technology,12000,24050,NULL,NULL,103,3798,47700
Morton College,5446,8699,NULL,NULL,2914,8499,30900
Mr John's School of Cosmetology Esthetics & Nails-Decatur,7917,NULL,NULL,NULL,86,NULL,15600
National Louis University,8750,30180,0.9881,NULL,1393,6104,42800
National University of Health Sciences,9500,NULL,NULL,NULL,87,5143,39400
Niles School of Cosmetology,2974,NULL,NULL,NULL,78,NULL,19500
North Central College,19000,41218,0.6365,1125,2700,7337,45000
North Park University,16025,31065,0.5234,1030,2190,7535,42400
Northern Baptist Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,7683,NULL
Northern Illinois University,15000,27621,0.5613,1010,15782,7834,43900
Northwestern College-Chicago Campus,10334,29184,0.9016,NULL,430,4143,29300
Northwestern University,14850,60729,0.1532,1458,8855,14525,65900
Northeastern Illinois University,9500,22273,0.5981,890,8827,6988,36700
Oakton Community College,3500,9574,NULL,NULL,10111,9783,37600
Oehrlein School of Cosmetology,9600,NULL,NULL,NULL,70,NULL,16800
Olivet Nazarene University,16375,39125,0.8196,1105,3325,6769,38300
Parkland College,3500,10394,NULL,NULL,7429,7873,29700
Pivot Point Academy-Evanston,12500,NULL,NULL,NULL,179,NULL,24100
Prairie State College,4750,10990,NULL,NULL,4651,7391,29200
Principia College,NULL,NULL,0.8413,1091,495,7232,NULL
Professional's Choice Hair Design Academy,7996,NULL,NULL,NULL,49,NULL,PrivacySuppressed
Quincy University,12000,36948,0.8859,1048,1166,5436,37800
Vatterott College-Quincy,15649,22192,NULL,NULL,200,3943,26900
The Illinois Institute of Art-Chicago,10500,31746,NULL,NULL,2322,5602,33100
Rend Lake College,4200,10756,NULL,NULL,1747,5802,25800
Richland Community College,3500,10285,NULL,NULL,2634,5099,26700
Robert Morris University Illinois,12000,32074,0.21,NULL,2775,6485,31300
Rock Valley College,3063,9736,NULL,NULL,7395,7188,31100
Madison Media Institute-Rockford Career College,9500,24888,NULL,NULL,484,4531,27500
Rockford University,17399,37253,0.4097,1029,963,5567,43100
Roosevelt University,14250,43650,0.7878,1035,3596,7992,42700
Dominican University,15000,36307,0.5997,1031,2020,6685,45600
Rush University,17850,NULL,NULL,NULL,121,11392,78200
Saint Francis Medical Center College of Nursing,15000,NULL,NULL,NULL,417,6855,55400
University of St Francis,18497,36226,0.5141,1070,1757,7543,47600
St. John's College-Department of Nursing,17250,NULL,NULL,NULL,124,5216,PrivacySuppressed
Saint Xavier University,17000,35284,0.5054,1010,2891,7886,44400
University of Illinois at Springfield,12500,21385,0.5977,1085,2959,7464,43000
Sauk Valley Community College,3329,9836,NULL,NULL,1788,5838,29100
Bexley Hall Seabury Western Theological Seminary Federation,NULL,NULL,NULL,NULL,NULL,9409,NULL
Shawnee Community College,PrivacySuppressed,14783,NULL,NULL,1309,6519,24100
Shimer College,26791.5,45030,0.2857,NULL,97,4722,PrivacySuppressed
Saint Augustine College,PrivacySuppressed,14859,NULL,NULL,1598,4789,25300
University of Saint Mary of the Lake,PrivacySuppressed,NULL,NULL,NULL,NULL,3668,NULL
Southeastern Illinois College,PrivacySuppressed,12498,NULL,NULL,1027,5972,27100
National Latino Education Institute,2725,NULL,0.5455,NULL,64,NULL,27000
Spertus College,PrivacySuppressed,NULL,NULL,NULL,NULL,9147,NULL
Spoon River College,3957,14977,NULL,NULL,1207,5781,27700
Saint Anthony College of Nursing,20375,NULL,NULL,NULL,220,6863,58200
Educators of Beauty College of Cosmetology-Sterling,9825,NULL,NULL,NULL,45,NULL,16200
Southern Illinois University-Carbondale,13750,24234,0.7887,1032,13220,7208,41800
Southern Illinois University-Edwardsville,12000,21137,0.8419,1050,11179,7859,41000
Taylor Business Institute,6335,23100,1,NULL,86,3417,20500
Telshe Yeshiva-Chicago,PrivacySuppressed,17585,1,NULL,67,3527,PrivacySuppressed
South Suburban College,PrivacySuppressed,9697,NULL,NULL,4642,7043,26100
Tri-County Beauty Academy,9500,NULL,NULL,NULL,14,NULL,PrivacySuppressed
Trinity Christian College,19843,33611,0.9022,1053,1191,6506,42000
Trinity International University-Illinois,7000,37929,0.9372,1049,899,7250,41000
Triton College,3500,9066,NULL,NULL,9184,7474,32000
University of Spa & Cosmetology Arts,5500,NULL,NULL,NULL,189,NULL,20700
VanderCook College of Music,27000,37343,0.374,1205,104,7625,PrivacySuppressed
Waubonsee Community College,3500,8991,NULL,NULL,8055,7929,30300
Resurrection University,24950,NULL,NULL,NULL,321,7544,68900
Western Illinois University,14500,24375,0.5931,970,9873,8263,41500
Wheaton College,19929,41394,0.6871,1318,2415,8314,45200
William Rainey Harper College,5500,12390,NULL,NULL,11217,8731,34700
Ancilla College,9500,25473,NULL,NULL,398,3819,29300
Anderson University,20938.5,37937,0.5545,1053,1862,6395,36300
Apex Academy of Hair Design Inc,PrivacySuppressed,NULL,NULL,NULL,9,NULL,PrivacySuppressed
Ball State University,15908,21101,0.6054,1053,15985,7305,39400
Bethel College-Indiana,16625,33617,0.7158,1047,1579,5506,35500
Butler University,23875,47010,0.661,1212,3998,7980,54700
Calumet College of Saint Joseph,12000,19530,0.4,855,988,5564,39700
Christian Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,8316,NULL
College of Court Reporting Inc,18985,22489,NULL,NULL,252,NULL,32400
Concordia Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,4130,NULL
Tricoci University of Beauty Culture-Highland,8999,NULL,NULL,NULL,182,NULL,18400
DePauw University,20824,51050,0.6121,1215,2272,8900,50700
Don Roberts School of Hair Design,9500,NULL,NULL,NULL,53,NULL,18000
Don Roberts Beauty School,7476,NULL,NULL,NULL,77,NULL,PrivacySuppressed
Earlham College,20000,50930,0.637,1262,1016,7391,34500
University of Evansville,23000,42674,0.8409,1147,2373,7658,40300
Franklin College,21429,37962,0.6002,1010,969,6524,41200
Goshen College,15500,37707,0.5506,1123,778,5509,37000
Grace College and Theological Seminary,15800,32506,0.7884,1050,1286,5839,35400
Hair Fashions By Kaye Beauty College-Noblesville,6881,NULL,NULL,NULL,70,NULL,16300
Hair Fashions By Kaye Beauty College-Indianapolis,9500,NULL,NULL,NULL,108,NULL,16200
Hanover College,22225,42198,0.6673,1130,1159,7847,42500
J Michael Harrold Beauty Academy,6200,NULL,NULL,NULL,86,NULL,PrivacySuppressed
Holy Cross College,13000,33660,0.7231,1014,490,4545,36300
PJ's College of Cosmetology-Clarksville,9500,NULL,NULL,NULL,116,NULL,14600
Huntington University,20269,34764,0.9732,1054,1030,5945,34000
Ivy Tech Community College,5500,13547,NULL,NULL,87017,4960,29600
Purdue University Fort Wayne,12000,18837,0.8309,996,9795,7355,35200
Indiana University-Purdue University-Indianapolis,12500,20846,0.6958,1013,21569,7713,41000
Harrison College-Indianapolis,9500,24768,1,NULL,3726,4187,23600
University of Indianapolis,15000,36158,0.8443,1018,4108,6903,40300
Indiana Institute of Technology,9500,35911,0.7225,934,5670,6965,41200
University of Southern Indiana,11000,17996,0.6934,1004,8764,6363,35200
Indiana State University,9500,19549,0.8306,910,10173,7071,36700
Indiana University-Kokomo,9500,15874,0.7355,950,2708,5680,35100
Indiana University-South Bend,10660,17377,0.7003,962,5538,5575,33400
Indiana University-Bloomington,18273,23043,0.7217,1198,31984,9431,46100
Indiana University-Northwest,10940.5,18092,0.7625,918,4764,6557,35900
Indiana University-Southeast,9100,16753,0.7945,950,5699,6539,35700
Indiana University-East,10500,15334,0.5381,943,3132,5755,30100
International Business College-Fort Wayne,12000,21604,0.8308,NULL,406,4565,27000
International Business College-Indianapolis,12000,21258,0.8287,NULL,399,4442,27000
ITT Technical Institute-Nashville,12224,26064,0.6707,NULL,525,5208,38800
ITT Technical Institute-Fort Wayne,12224,24682,0.7841,NULL,283,5319,38800
ITT Technical Institute-Indianapolis,12224,27249,0.9018,NULL,4296,4667,38800
J Everett Light Career Center,9500,18900,0.8889,NULL,40,NULL,42900
Knox Beauty College,PrivacySuppressed,NULL,NULL,NULL,39,NULL,PrivacySuppressed
Tricoci University of Beauty Culture-Lafayette,5492,NULL,NULL,NULL,82,NULL,PrivacySuppressed
Brown Mackie College-Merrillville,9500,23508,NULL,NULL,619,3823,29600
Brown Mackie College-Michigan City,9500,24039,NULL,NULL,290,3772,29600
Empire Beauty School-Indianapolis,6107,NULL,NULL,NULL,194,NULL,15700
Lincoln College of Technology-Indianapolis,10500,NULL,NULL,NULL,1240,4077,33800
Manchester University,19000,38505,0.7116,1017,1188,6924,38800
Marian University,21997.5,39369,0.5795,1024,2054,5762,42800
Indiana Wesleyan University-Marion,14250,33770,0.9515,1083,10625,6853,48100
Martin University,9500,22038,NULL,NULL,452,4539,23000
Masters of Cosmetology College,10000,NULL,NULL,NULL,96,NULL,18100
Anabaptist Mennonite Biblical Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,5081,NULL
Merrillville Beauty College,PrivacySuppressed,NULL,NULL,NULL,62,NULL,16200
Brown Mackie College-South Bend,9500,23513,NULL,NULL,423,4128,29600
Mid-America College of Funeral Service,13000,12303,NULL,NULL,63,3575,27100
West Michigan College of Barbering and Beauty,PrivacySuppressed,NULL,NULL,NULL,87,NULL,13600
University of Notre Dame,19500,57805,0.223,1450,8466,12629,71600
Oakland City University,10250,31104,0.7285,988,587,3610,34200
PJ's College of Cosmetology-Richmond,9500,NULL,NULL,NULL,37,NULL,PrivacySuppressed
Kaplan College-Indianapolis,8275,NULL,NULL,NULL,81,NULL,25300
Purdue University-Calumet Campus,12500,16727,0.6063,975,7466,7937,37800
Purdue University-North Central Campus,9500,13713,0.7218,954,3514,6971,37100
Ravenscroft Beauty College,6333,NULL,NULL,NULL,187,NULL,18600
Rogers Academy of Hair Design,4071,NULL,NULL,NULL,51,NULL,15700
Rose-Hulman Institute of Technology,25000,55413,0.5622,1310,2165,8411,79200
Rudae's School of Beauty Culture-Kokomo,9042.5,NULL,NULL,NULL,39,NULL,14900
University of Saint Francis-Fort Wayne,17919,31516,0.5362,981,1878,5666,38400
Saint Josephs College,12313.5,37135,0.6419,998,1096,5443,40100
Saint Mary-of-the-Woods College,15025.5,40349,0.9754,895,707,4867,30900
Saint Mary's College,26088,45920,0.8568,1141,1470,6953,46100
Brightwood College-Hammond,9008,NULL,NULL,NULL,366,4067,22100
Saint Meinrad School of Theology,PrivacySuppressed,NULL,NULL,NULL,NULL,7378,NULL
Saint Elizabeth School of Nursing,24346,31927,0.4762,940,269,NULL,45500
Taylor University,19000,38845,0.876,1214,1873,6365,36000
Trine University,15000,40679,0.7157,1095,1431,7319,41700
Valparaiso University,22247,43185,0.7969,1158,3209,7280,48700
Vincennes Beauty College,5500,NULL,NULL,NULL,89,NULL,PrivacySuppressed
Vincennes University,8599,15780,NULL,NULL,8313,6073,32200
Wabash College,20000,44750,0.6962,1141,896,8352,53600
Allen College,16000,29905,0.5,NULL,398,6312,47500
AIB College of Business,11875,22469,0.6887,NULL,1007,4706,37200
Briar Cliff University,13175.5,37066,NULL,NULL,999,5764,40300
Buena Vista University,15418,39011,0.6955,1050,2125,6736,38800
Capri College-Dubuque,7600,NULL,NULL,NULL,122,NULL,21400
Capri College-Cedar Rapids,7977,NULL,NULL,NULL,192,NULL,19900
American College of Hairstyling-Cedar Rapids,PrivacySuppressed,NULL,NULL,NULL,11,NULL,PrivacySuppressed
Central College,26900,43491,0.658,1089,1303,6790,43200
Clarke University,19000,38062,0.7752,1048,995,6109,40000
Coe College,21219.5,45387,0.6171,1166,1355,7662,44100
Cornell College,25000,46135,0.6411,1182,1122,6592,41200
Iowa School of Beauty-Marshalltown,9893,NULL,NULL,NULL,34,NULL,14100
Des Moines Area Community College,4750,13927,NULL,NULL,14928,7057,33300
Divine Word College,7400,17945,1,NULL,89,5097,PrivacySuppressed
Dordt College,19500,37083,0.7542,1119,1338,5959,39100
Drake University,20500,42477,0.6595,1240,3310,9108,56800
University of Dubuque,14892,34206,0.7742,926,1687,6274,38400
Ellsworth Community College,5500,14594,NULL,NULL,827,6536,34500
Emmaus Bible College,11000,23620,NULL,NULL,187,4389,30700
Eastern Iowa Community College District,5683,13188,NULL,NULL,5709,5826,29200
Faith Baptist Bible College and Theological Seminary,10702.5,24930,0.6693,1028,220,4992,32800
Faust Institute of Cosmetology-Storm Lake,12000,NULL,NULL,NULL,21,NULL,PrivacySuppressed
Graceland University-Lamoni,15137,34494,0.5018,969,1434,4986,37400
Grand View University,16806.5,31761,0.9542,979,2079,6421,41800
Grinnell College,9800,53318,0.3506,1357,1661,9129,44300
Purdue University Global-Mason City,9500,25840,NULL,NULL,205,4291,33500
Purdue University Global-Cedar Rapids,9500,24916,NULL,NULL,483,4884,33500
Hamilton Technical College,9500,17577,NULL,NULL,177,5146,35700
Hawkeye Community College,6750,14121,NULL,NULL,4276,5825,34500
American Hair Academy,11138,NULL,NULL,NULL,32,NULL,PrivacySuppressed
Indian Hills Community College,7000,13733,NULL,NULL,3070,5567,31600
Iowa Central Community College,5500,10958,NULL,NULL,3494,6595,34300
Iowa Lakes Community College,7500,13967,NULL,NULL,1715,5241,32000
UnityPoint Health-Des Moines School of Radiologic Technology,PrivacySuppressed,11064,0.3846,NULL,17,NULL,PrivacySuppressed
American College of Hairstyling-Des Moines,16000,NULL,NULL,NULL,21,NULL,PrivacySuppressed
Iowa School of Beauty-Des Moines,6861,NULL,NULL,NULL,150,NULL,19900
Iowa State University,18250,18820,0.8252,1145,27112,10027,48600
Iowa Wesleyan University,15000,36102,0.6012,1005,578,5473,35700
Iowa Western Community College,5500,13456,NULL,NULL,5097,5086,31600
University of Iowa,16008.5,21832,0.8023,1208,21314,10194,50200
Kirkwood Community College,6334,14491,NULL,NULL,10645,5152,34200
La James International College-Cedar Falls,9500,NULL,NULL,NULL,92,NULL,19000
La James International College-Johnston,9500,NULL,NULL,NULL,100,NULL,23100
La James College of Hairstyling and Cosmetology,6332,NULL,NULL,NULL,103,NULL,18000
La James International College-Ft Dodge,10948.5,NULL,NULL,NULL,84,NULL,PrivacySuppressed
Loras College,23034,37622,0.6903,1088,1521,6173,42400
Luther College,26250,46548,0.7212,1175,2388,7539,43500
Maharishi University of Management,20599,38334,0.4189,NULL,316,1825,23300
Marshalltown Community College,6500,13162,NULL,NULL,1266,6759,31200
Mercy College of Health Sciences,11500,24333,0.785,NULL,826,5183,46700
Morningside College,17250,36280,0.5337,1050,1267,6371,42400
Mount Mercy University,17500,37183,0.6845,1010,1454,6007,43900
Ashford University,5892,26047,NULL,NULL,50403,5753,40900
North Iowa Area Community College,5500,11412,NULL,NULL,2139,6667,31800
University of Northern Iowa,16000,19233,0.8331,1030,10170,8062,42800
Northwestern College,19375,37884,0.7609,1095,1147,6206,37200
Northeast Iowa Community College,6500,14427,NULL,NULL,3025,5174,31500
Northwest Iowa Community College,6000,14703,NULL,NULL,826,5314,38000
Des Moines University-Osteopathic Medical Center,PrivacySuppressed,NULL,NULL,NULL,NULL,7912,197000
Iowa School of Beauty-Ottumwa,12259.5,NULL,NULL,NULL,63,NULL,PrivacySuppressed
Palmer College of Chiropractic,9500,24669,0.6,NULL,39,6378,38600
PCI Academy-Ames,8382,NULL,NULL,NULL,141,NULL,26300
Saint Ambrose University,18750,38189,0.9617,1050,2716,6754,44700
St Luke's College,12000,25370,0.375,1030,184,2507,44400
La James International College-Davenport,9500,NULL,NULL,NULL,47,NULL,16000
La James International College-Iowa City,9500,NULL,NULL,NULL,64,NULL,24200
Simpson College,21500,40186,0.8802,1105,1687,6312,44400
Southeastern Community College,5227,11772,NULL,NULL,2698,7032,27500
Southwestern Community College,5500,11220,NULL,NULL,942,4917,30200
Capri College-Davenport,7600,NULL,NULL,NULL,190,NULL,17600
Iowa School of Beauty-Sioux City,10709,NULL,NULL,NULL,54,NULL,16200
E Q School of Hair Design,6323,NULL,NULL,NULL,68,NULL,15700
Upper Iowa University,10000,35190,0.5818,1010,4513,5794,40500
Waldorf University,8925,30300,0.5067,980,1090,5046,36100
Wartburg College,23500,43312,0.7765,1077,1669,6571,42900
Wartburg Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,6440,PrivacySuppressed
The Salon Professional Academy-Cedar Falls,7146,NULL,NULL,NULL,46,NULL,16900
Western Iowa Tech Community College,5350,10900,NULL,NULL,3557,6076,29900
William Penn University,12755,33081,0.5766,926,1558,5792,40000
Allen County Community College,3652,9977,NULL,NULL,2852,4879,31100
Baker University,19500,37485,0.869,1086,1759,5758,49800
Barton County Community College,5250,13481,NULL,NULL,2585,4596,30300
Benedictine College,19000,36805,0.6057,1145,1750,6165,39100
Bethany College,15000,34042,0.5882,956,604,4361,39500
Bethel College-North Newton,14750,33781,0.644,1028,482,5407,39900
Brown Mackie College-Kansas City,8075.5,23573,NULL,NULL,486,4707,23000
Brown Mackie College-Salina,8075.5,24272,NULL,NULL,506,4386,23000
Bryan University,21011,23526,NULL,NULL,88,3236,26700
Butler Community College,4750,11479,NULL,NULL,6861,5799,31200
Central Baptist Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,82,5011,NULL
Central Christian College of Kansas,7000,28170,0.5045,970,765,3262,30500
Cloud County Community College,4500,9748,NULL,NULL,1296,4621,30400
Coffeyville Community College,4775,8831,NULL,NULL,1273,4696,29500
Colby Community College,5500,11426,NULL,NULL,815,4438,31700
Cowley County Community College,4500,12715,NULL,NULL,3395,5547,32300
Marinello Schools of Beauty-Manhattan,9500,NULL,NULL,NULL,111,NULL,18300
Dodge City Community College,5500,11074,NULL,NULL,1161,5132,31000
Donnelly College,4750,13682,NULL,NULL,419,4256,23500
Emporia State University,11000,15612,0.6069,1030,3724,6268,36600
Flint Hills Technical College,8501,19991,NULL,NULL,600,4829,33500
Fort Hays State University,8600.5,15395,0.8917,990,11064,6488,37100
Barclay College,9663.5,24990,0.5285,954,233,4622,28000
Friends University,16886,33388,0.5862,977,1568,6443,41600
Fort Scott Community College,5500,9778,NULL,NULL,1409,3526,29800
Garden City Community College,4113.5,9135,NULL,NULL,1448,5854,30200
Haskell Indian Nations University,PrivacySuppressed,8056,NULL,NULL,741,7226,22800
Hays Academy of Hair Design,9500,NULL,NULL,NULL,77,NULL,PrivacySuppressed
Hesston College,12000,34390,NULL,NULL,440,5066,36500
Highland Community College,5500,9222,NULL,NULL,1777,5124,30900
Hutchinson Community College,5059.5,11659,NULL,NULL,4064,5227,32400
Independence Community College,2784,9460,NULL,NULL,678,4872,25800
